product_name,reason
어버이날선물,excluded_or_not_target
그릭요거트,no_goods_code_match
찹쌀누룽지과자,excluded_or_not_target
비타민c,excluded_or_not_target
포스파티딜세린,excluded_or_not_target
두유,excluded_or_not_target
레몬즙,no_goods_code_match
스승의날선물,excluded_or_not_target
생수,excluded_or_not_target
맥심모카골드,excluded_or_not_target
구운계란,no_goods_code_match
뉴케어구수한맛,excluded_or_not_target
루테인,excluded_or_not_target
명이나물,no_goods_code_match
대마종자유,excluded_or_not_target
알부민,excluded_or_not_target
프로폴리스,excluded_or_not_target
엄나무순,no_goods_code_match
유산균,excluded_or_not_target
정관장에브리타임,excluded_or_not_target
탄산수,excluded_or_not_target
알파cd,excluded_or_not_target
하루견과,excluded_or_not_target
견과류,no_goods_code_match
샤오커오라사탕,excluded_or_not_target
쑥떡,no_goods_code_match
정관장,excluded_or_not_target
땅콩버터,no_goods_code_match
콘드로이친1200,excluded_or_not_target
수향미10kg,no_goods_code_match
버터떡,no_goods_code_match
양배추즙,no_goods_code_match
김치,no_goods_code_match
멍게,no_goods_code_match
비타민d,excluded_or_not_target
레모너리,excluded_or_not_target
성주참외,no_goods_code_match
시오콘부,no_goods_code_match
진미채,no_goods_code_match
멀티비타민,excluded_or_not_target
커피믹스,excluded_or_not_target
화과자,no_goods_code_match
황성주생식,excluded_or_not_target
오트밀,no_goods_code_match
조선호텔김치,excluded_or_not_target
킹크랩,no_goods_code_match
코큐텐,excluded_or_not_target
컵라면,excluded_or_not_target
구강유산균,excluded_or_not_target
비에날17유산균,excluded_or_not_target
간장게장,no_goods_code_match
마카다미아,no_goods_code_match
멜라토닌,excluded_or_not_target
생수2l,excluded_or_not_target
이클립스,excluded_or_not_target
야채도사,excluded_or_not_target
단백질음료,excluded_or_not_target
두쫀쿠,no_goods_code_match
햇반,excluded_or_not_target
카누,excluded_or_not_target
락토핏유산균,excluded_or_not_target
삼다수,excluded_or_not_target
버터,no_goods_code_match
뉴케어당플랜,excluded_or_not_target
비파열매,no_goods_code_match
cca주스,excluded_or_not_target
bnr17유산균,excluded_or_not_target
카네이션떡,excluded_or_not_target
고춧가루,no_goods_code_match
퀘르포민정,excluded_or_not_target
커큐민,excluded_or_not_target
단백질쉐이크,excluded_or_not_target
베르베린,excluded_or_not_target
삼다수2l,excluded_or_not_target
소고기,no_goods_code_match
구강유산균m18,excluded_or_not_target
답례품,excluded_or_not_target
맥심화이트골드,excluded_or_not_target
창억떡호박인절미,excluded_or_not_target
경옥고,excluded_or_not_target
낫또,no_goods_code_match
어버이날케이크,excluded_or_not_target
올레샷,excluded_or_not_target
홍삼진액,excluded_or_not_target
궁채,no_goods_code_match
다크초콜릿,no_goods_code_match
육회,no_goods_code_match
차전자피,no_goods_code_match
홍게,no_goods_code_match
보이차,no_goods_code_match
비트즙,no_goods_code_match
덴마크유산균,excluded_or_not_target
두리안,no_goods_code_match
모짜렐라치즈,no_goods_code_match
밀크씨슬,excluded_or_not_target
흑염소진액,excluded_or_not_target
미더덕회,no_goods_code_match
고려은단비타민c1000,excluded_or_not_target
냉면,no_goods_code_match
쥐포,no_goods_code_match
봄나물종류,no_goods_code_match
떡케이크,no_goods_code_match
비타민b,excluded_or_not_target
떡,no_goods_code_match
칼슘,excluded_or_not_target
텐텐,excluded_or_not_target
누룽지팝,excluded_or_not_target
비타500,excluded_or_not_target
생수500,excluded_or_not_target
루테인지아잔틴,excluded_or_not_target
침향환,excluded_or_not_target
뼈엔엠비피mbp,excluded_or_not_target
황태채,no_goods_code_match
공진단,excluded_or_not_target
닭다리살,no_goods_code_match
백진삼,excluded_or_not_target
원두,no_goods_code_match
초당옥수수,no_goods_code_match
39갈비,excluded_or_not_target
조니워커브루라벨,excluded_or_not_target
맥심모카골드400,excluded_or_not_target
반찬,no_goods_code_match
콜드브루,no_goods_code_match
냉면육수,no_goods_code_match
딸기슈크림붕어빵,no_goods_code_match
라면,excluded_or_not_target
애사비,excluded_or_not_target
오이지오이,no_goods_code_match
질유산균,excluded_or_not_target
하이퍼셀대마종자유,excluded_or_not_target
창억호박인절미,no_goods_code_match
토마토즙,no_goods_code_match
우베,no_goods_code_match
모찌케이크,no_goods_code_match
오메가3,no_goods_code_match
닭가슴살,no_goods_code_match
콜라겐,no_goods_code_match
창억떡,no_goods_code_match
뉴케어,no_goods_code_match
촉촉한황치즈칩,no_goods_code_match
마그네슘,no_goods_code_match
카무트효소,no_goods_code_match
임박,no_goods_code_match
멸균우유,no_goods_code_match
올리브오일,no_goods_code_match
콘드로이친,no_goods_code_match
카네이션쿠키,no_goods_code_match
