product_name,auction_date,market_code,market_name,weighted_avg_auction_price,high_price,low_price,total_trade_qty,row_count,corp_count
감자,2026-04-28,220001,대구북부,61863.9,75000.0,8000.0,106650.0,144,2
감자,2026-04-28,110001,서울가락,62117.8,74000.0,26000.0,77520.0,64,1
감자,2026-04-28,110008,서울강서,64982.8,73000.0,30000.0,11020.0,15,1
감자,2026-04-28,380303,창원내서,46477.3,75000.0,35500.0,1320.0,17,1
감자,2026-04-28,380401,진주,48050.8,70000.0,35000.0,590.0,7,1
감자,2026-04-28,380101,창원팔용,42600.0,42600.0,42600.0,40.0,1,1
사과,2026-04-28,380303,창원내서,11014.3,18000.0,7000.0,350.0,4,1
오이,2026-04-28,110001,서울가락,22000.0,22000.0,22000.0,100.0,1,1
참외,2026-04-28,110001,서울가락,41876.5,65000.0,5200.0,43779.5,664,2
참외,2026-04-28,220001,대구북부,55659.2,86500.0,16000.0,19438.0,392,3
참외,2026-04-28,230001,인천남촌,48182.1,68000.0,15000.0,12300.0,371,2
참외,2026-04-28,110008,서울강서,51855.1,68000.0,20000.0,8560.0,211,1
참외,2026-04-28,330101,청주,49417.8,67500.0,20000.0,7410.0,171,1
참외,2026-04-28,340101,천안,52818.8,67100.0,24000.0,6890.0,105,1
참외,2026-04-28,380303,창원내서,46467.9,68000.0,6000.0,5010.0,109,1
참외,2026-04-28,380401,진주,53897.3,72000.0,25000.0,4060.0,94,1
참외,2026-04-28,320101,춘천,58739.8,66000.0,55080.0,400.0,7,1
