product_name,auction_date,market_code,market_name,weighted_avg_auction_price,high_price,low_price,total_trade_qty,row_count,corp_count
감자,2026-04-29,110001,서울가락,61764.0,76500.0,10000.0,87156.0,75,1
감자,2026-04-29,220001,대구북부,66118.2,77000.0,11000.0,60910.0,119,2
감자,2026-04-29,110008,서울강서,67517.9,75000.0,30000.0,34100.0,51,2
감자,2026-04-29,380303,창원내서,55250.0,75000.0,35500.0,1600.0,14,1
사과,2026-04-29,380303,창원내서,71439.8,146000.0,20000.0,880.0,33,1
오이,2026-04-29,110001,서울가락,22000.0,22000.0,22000.0,100.0,1,1
참외,2026-04-29,110001,서울가락,52939.5,68000.0,13500.0,45850.0,832,2
참외,2026-04-29,220001,대구북부,57144.8,76500.0,16500.0,22700.0,424,3
참외,2026-04-29,110008,서울강서,48058.2,65000.0,15000.0,14340.0,260,1
참외,2026-04-29,230001,인천남촌,48626.8,68000.0,20000.0,11590.0,350,2
참외,2026-04-29,340101,천안,54329.8,70300.0,20300.0,7525.0,131,1
참외,2026-04-29,330101,청주,51058.8,70500.0,26000.0,4480.0,119,1
참외,2026-04-29,380401,진주,56375.4,72000.0,26000.0,4230.0,115,1
참외,2026-04-29,380303,창원내서,50128.2,65000.0,26000.0,3760.0,93,1
참외,2026-04-29,320101,춘천,57813.8,65000.0,55080.0,450.0,5,1
