date,slot,source_type,source,rank,product_name,note,search_ratio,shopping_ratio
2026-04-22,pm,sns,instagram,,오이,오이샐러드 레시피 증가,93.93258,96.62162
2026-04-22,pm,top20,naver_datalab,1.0,쌀20kg,,7.99493,92.46376
2026-04-22,pm,top20,naver_datalab,2.0,오메가3,,28.6824,87.05314
2026-04-22,pm,top20,naver_datalab,3.0,닭가슴살,,23.68807,78.93719
2026-04-22,pm,top20,naver_datalab,4.0,촉촉한황치즈칩,,100.0,76.71497
2026-04-22,pm,top20,naver_datalab,5.0,쌀10kg,,6.97806,76.61835
2026-04-22,pm,top20,naver_datalab,6.0,참외,,11.98145,77.03398
2026-04-22,pm,top20,naver_datalab,7.0,마늘쫑,,8.03638,67.45623
2026-04-22,pm,top20,naver_datalab,8.0,두릅,,29.1029,66.52935
2026-04-22,pm,top20,naver_datalab,9.0,비타민c,,16.75762,65.70545
2026-04-22,pm,top20,naver_datalab,10.0,창억떡,,62.30426,64.36663
2026-04-22,pm,top20,naver_datalab,11.0,임박,,8.33137,89.95633
2026-04-22,pm,top20,naver_datalab,12.0,마그네슘,,89.97887,88.79184
2026-04-22,pm,top20,naver_datalab,13.0,콜라겐,,53.64937,82.67831
2026-04-22,pm,top20,naver_datalab,14.0,감자,,55.17484,81.36826
2026-04-22,pm,top20,naver_datalab,15.0,샐러드,,64.42149,81.2227
2026-04-22,pm,top20,naver_datalab,16.0,사과,,41.10703,73.44173
2026-04-22,pm,top20,naver_datalab,17.0,꽃게,,42.45802,69.78319
2026-04-22,pm,top20,naver_datalab,18.0,생수,,31.83368,69.78319
2026-04-22,pm,top20,naver_datalab,19.0,알파cd,,41.36935,68.69918
2026-04-22,pm,top20,naver_datalab,20.0,쭈꾸미,,66.36935,67.61517
