date,slot,source_type,source,rank,product_name,note,rank_range,search_ratio,shopping_ratio
2026-04-23,pm,rising,naver_top200,21.0,엄나무순,21~50 전량 수집,21-50,68.7811,70.71197
2026-04-23,pm,rising,naver_top200,22.0,감자,21~50 전량 수집,21-50,22.79995,68.93203
2026-04-23,pm,rising,naver_top200,23.0,콘드로이친,21~50 전량 수집,21-50,40.88742,68.60841
2026-04-23,pm,rising,naver_top200,24.0,임박,21~50 전량 수집,21-50,3.07105,68.28478
2026-04-23,pm,rising,naver_top200,25.0,뉴케어구수한맛,21~50 전량 수집,21-50,22.35518,67.63754
2026-04-23,pm,rising,naver_top200,26.0,맥심모카골드,21~50 전량 수집,21-50,32.89103,81.26232
2026-04-23,pm,rising,naver_top200,27.0,고구마,21~50 전량 수집,21-50,33.4374,80.86785
2026-04-23,pm,rising,naver_top200,28.0,구운계란,21~50 전량 수집,21-50,35.71651,80.86785
2026-04-23,pm,rising,naver_top200,29.0,뉴케어,21~50 전량 수집,21-50,59.42866,80.86785
2026-04-23,pm,rising,naver_top200,30.0,알파cd,21~50 전량 수집,21-50,45.9413,80.86785
2026-04-23,pm,rising,naver_top200,31.0,두유,21~50 전량 수집,21-50,38.70068,68.28046
2026-04-23,pm,rising,naver_top200,32.0,오렌지,21~50 전량 수집,21-50,30.27444,68.28046
2026-04-23,pm,rising,naver_top200,33.0,명이나물,21~50 전량 수집,21-50,71.39794,67.94657
2026-04-23,pm,rising,naver_top200,34.0,찹쌀누룽지과자,21~50 전량 수집,21-50,34.19811,67.44574
2026-04-23,pm,rising,naver_top200,35.0,레몬즙,21~50 전량 수집,21-50,35.01286,66.11018
2026-04-23,pm,rising,naver_top200,36.0,탄산수,21~50 전량 수집,21-50,9.90913,63.91585
2026-04-23,pm,rising,naver_top200,37.0,수박,21~50 전량 수집,21-50,12.22372,62.62135
2026-04-23,pm,rising,naver_top200,38.0,명가삼대떡집,21~50 전량 수집,21-50,19.8858,61.97411
2026-04-23,pm,rising,naver_top200,39.0,버터떡,21~50 전량 수집,21-50,42.09233,61.65048
2026-04-23,pm,rising,naver_top200,40.0,그릭요거트,21~50 전량 수집,21-50,18.63334,61.48867
2026-04-23,pm,rising,naver_top200,41.0,암꽃게,21~50 전량 수집,21-50,40.92756,79.07949
2026-04-23,pm,rising,naver_top200,42.0,루테인,21~50 전량 수집,21-50,36.83958,78.66108
2026-04-23,pm,rising,naver_top200,43.0,블루베리,21~50 전량 수집,21-50,73.60745,78.45188
2026-04-23,pm,rising,naver_top200,44.0,카네이션쿠키,21~50 전량 수집,21-50,12.00095,77.82426
2026-04-23,pm,rising,naver_top200,45.0,샤오커오라사탕,21~50 전량 수집,21-50,92.27826,77.61506
2026-04-23,pm,rising,naver_top200,46.0,수향미10kg,21~50 전량 수집,21-50,23.12633,67.40331
2026-04-23,pm,rising,naver_top200,47.0,새조개,21~50 전량 수집,21-50,48.01332,67.21915
2026-04-23,pm,rising,naver_top200,48.0,카라향,21~50 전량 수집,21-50,80.44254,66.29834
2026-04-23,pm,rising,naver_top200,49.0,병아리콩,21~50 전량 수집,21-50,43.73066,66.11418
2026-04-23,pm,rising,naver_top200,50.0,유산균,21~50 전량 수집,21-50,84.53485,65.74585
2026-04-23,pm,sns,instagram,,오이,오이샐러드 레시피 증가,,91.29213,80.18018
2026-04-23,pm,sns,instagram,,양파,양파쌈,,49.94382,49.77477
2026-04-23,pm,top20,naver_datalab,1.0,오메가3,,,24.02883,79.03381
2026-04-23,pm,top20,naver_datalab,2.0,촉촉한황치즈칩,,,100.0,77.3913
2026-04-23,pm,top20,naver_datalab,3.0,쌀20kg,,,7.34834,77.00483
2026-04-23,pm,top20,naver_datalab,4.0,닭가슴살,,,20.36741,76.71497
2026-04-23,pm,top20,naver_datalab,5.0,참외,,,11.39886,74.00966
2026-04-23,pm,top20,naver_datalab,6.0,쌀10kg,,,8.19609,69.51596
2026-04-23,pm,top20,naver_datalab,7.0,꽃게,,,13.03312,66.83831
2026-04-23,pm,top20,naver_datalab,8.0,사과,,,11.24035,66.63233
2026-04-23,pm,top20,naver_datalab,9.0,두릅,,,23.78594,60.04119
2026-04-23,pm,top20,naver_datalab,10.0,창억떡,,,60.73937,59.73223
2026-04-23,pm,top20,naver_datalab,11.0,비타민c,,,87.13426,83.98835
2026-04-23,pm,top20,naver_datalab,12.0,마그네슘,,,69.79959,82.24163
2026-04-23,pm,top20,naver_datalab,13.0,마늘쫑,,,43.72745,78.45705
2026-04-23,pm,top20,naver_datalab,14.0,콜라겐,,,47.93587,74.67248
2026-04-23,pm,top20,naver_datalab,15.0,생수,,,49.97995,74.38136
2026-04-23,pm,top20,naver_datalab,16.0,쭈꾸미,,,57.5465,83.22368
2026-04-23,pm,top20,naver_datalab,17.0,올리브오일,,,47.49234,83.05921
2026-04-23,pm,top20,naver_datalab,18.0,카무트효소,,,43.21874,80.5921
2026-04-23,pm,top20,naver_datalab,19.0,계란,,,35.13068,75.65789
2026-04-23,pm,top20,naver_datalab,20.0,망고,,,30.51565,74.50657
