date,slot,source_type,source,rank,rank_range,product_name,note,product_group,sub_group,exclude_from_opportunity,search_ratio,shopping_ratio
2026-04-28,am,rising,naver_top200,21.0,21-50,사과,21~50_전량수집,농산물,,N,39.97867,43.51503
2026-04-28,am,rising,naver_top200,22.0,21-50,알부민,건강식품,건강식품,,Y,47.52132,43.32706
2026-04-28,am,rising,naver_top200,23.0,21-50,콘드로이친,건강식품,건강식품,,Y,56.07675,42.66917
2026-04-28,am,rising,naver_top200,24.0,21-50,생수,브랜드상품,브랜드_완제품,,Y,34.79477,41.63533
2026-04-28,am,rising,naver_top200,25.0,21-50,찹쌀누룽지과자,브랜드상품,브랜드_완제품,,Y,21.00213,40.97744
2026-04-28,am,rising,naver_top200,26.0,21-50,뉴케어,브랜드상품,브랜드_완제품,,Y,63.83989,39.96316
2026-04-28,am,rising,naver_top200,27.0,21-50,쭈꾸미,21~50_전량수집,수산물,,N,68.09701,39.87108
2026-04-28,am,rising,naver_top200,28.0,21-50,탄산수,브랜드상품,브랜드_완제품,,Y,28.25644,39.50276
2026-04-28,am,rising,naver_top200,29.0,21-50,맥심모카골드,브랜드상품,브랜드_완제품,,Y,35.5156,38.76611
2026-04-28,am,rising,naver_top200,30.0,21-50,오이,21~50_전량수집,농산물,,N,24.96607,38.39779
2026-04-28,am,rising,naver_top200,31.0,21-50,수박,21~50_전량수집,농산물,,N,43.42158,53.3419
2026-04-28,am,rising,naver_top200,32.0,21-50,계란,축산_가공식품,가공식품,,N,64.60088,52.95629
2026-04-28,am,rising,naver_top200,33.0,21-50,구운계란,축산_가공식품,가공식품,,N,48.0746,52.44215
2026-04-28,am,rising,naver_top200,34.0,21-50,블루베리,21~50_전량수집,농산물,,N,72.88407,50.7712
2026-04-28,am,rising,naver_top200,35.0,21-50,두유,브랜드상품,브랜드_완제품,,Y,39.1095,50.3856
2026-04-28,am,rising,naver_top200,36.0,21-50,멸균우유,브랜드상품,브랜드_완제품,,Y,12.24393,44.93087
2026-04-28,am,rising,naver_top200,37.0,21-50,오렌지,21~50_전량수집,농산물,,N,16.67059,44.35483
2026-04-28,am,rising,naver_top200,38.0,21-50,카라향,21~50_전량수집,농산물,,N,38.94513,44.35483
2026-04-28,am,rising,naver_top200,39.0,21-50,카무트효소,건강식품,건강식품,,Y,33.29408,44.23963
2026-04-28,am,rising,naver_top200,40.0,21-50,시오콘부,수산_가공식품,가공식품,,N,60.73699,44.00921
2026-04-28,am,rising,naver_top200,41.0,21-50,카네이션쿠키,브랜드상품,브랜드_완제품,,Y,8.69427,41.97802
2026-04-28,am,rising,naver_top200,42.0,21-50,두릅,21~50_전량수집,농산물,,N,38.68474,41.86813
2026-04-28,am,rising,naver_top200,43.0,21-50,엄나무순,21~50_전량수집,농산물,,N,44.45621,40.98901
2026-04-28,am,rising,naver_top200,44.0,21-50,샤오커오라사탕,브랜드상품,브랜드_완제품,,Y,32.75442,40.76923
2026-04-28,am,rising,naver_top200,45.0,21-50,밀키트,반찬_가공식품,가공식품,,N,15.63062,40.32967
2026-04-28,am,rising,naver_top200,46.0,21-50,병아리콩,21~50_전량수집,농산물,,N,27.12152,46.93094
2026-04-28,am,rising,naver_top200,47.0,21-50,야채도사,브랜드상품,브랜드_완제품,,Y,25.44525,46.54731
2026-04-28,am,rising,naver_top200,48.0,21-50,삼겹살,21~50_전량수집,축산물,,N,53.41801,46.29156
2026-04-28,am,rising,naver_top200,49.0,21-50,전복,21~50_전량수집,수산물,,N,25.18334,45.78005
2026-04-28,am,rising,naver_top200,50.0,21-50,정관장,브랜드상품,브랜드_완제품,,Y,100.0,45.52429
2026-04-28,am,rising,naver_top200,51.0,51-100,냉동블루베리,농산_가공식품,가공식품,,N,14.38517,44.59798
2026-04-28,am,rising,naver_top200,52.0,51-100,루테인,건강식품,건강식품,,Y,18.27944,44.47236
2026-04-28,am,rising,naver_top200,53.0,51-100,대마종자유,건강식품,건강식품,,Y,46.87278,44.09547
2026-04-28,am,rising,naver_top200,54.0,51-100,아몬드,Top200_확장후보,농산물,,N,17.45338,43.84422
2026-04-28,am,rising,naver_top200,55.0,51-100,명이나물,Top200_확장후보,농산물,,N,33.07764,43.46733
2026-04-28,am,rising,naver_top200,56.0,51-100,뉴케어구수한맛,브랜드상품,브랜드_완제품,,Y,40.53835,47.63888
2026-04-28,am,rising,naver_top200,57.0,51-100,참기름,참깨_원재료_가공식품,가공식품,,N,19.99595,47.22222
2026-04-28,am,rising,naver_top200,58.0,51-100,쑥떡,디저트/떡,가공식품,,N,25.98664,46.94444
2026-04-28,am,rising,naver_top200,59.0,51-100,스승의날선물,브랜드상품,브랜드_완제품,,Y,100.0,46.80555
2026-04-28,am,rising,naver_top200,60.0,51-100,멍게,Top200_확장후보,수산물,,N,29.6701,46.52777
2026-04-28,am,rising,naver_top200,61.0,51-100,견과류,Top200_확장후보,농산물,,N,43.4153,54.23452
2026-04-28,am,rising,naver_top200,62.0,51-100,포스파티딜세린,건강식품,건강식품,,Y,53.36704,54.23452
2026-04-28,am,rising,naver_top200,63.0,51-100,비파,Top200_확장후보,농산물,,N,70.71937,53.74592
2026-04-28,am,rising,naver_top200,64.0,51-100,캠핑음식,반찬_가공식품,가공식품,,N,70.00689,53.74592
2026-04-28,am,rising,naver_top200,65.0,51-100,고구마,Top200_확장후보,농산물,,N,47.29947,53.25732
2026-04-28,am,rising,naver_top200,66.0,51-100,그릭요거트,유제품,가공식품,,N,29.99089,38.98305
2026-04-28,am,rising,naver_top200,67.0,51-100,버터떡,디저트/떡,가공식품,,N,50.57168,38.98305
2026-04-28,am,rising,naver_top200,68.0,51-100,코큐텐,건강식품,건강식품,,Y,18.39522,38.86198
2026-04-28,am,rising,naver_top200,69.0,51-100,아르기닌,건강식품,건강식품,,Y,26.02448,38.01452
2026-04-28,am,rising,naver_top200,70.0,51-100,가죽나물,Top200_확장후보,농산물,,N,32.35859,37.4092
2026-04-28,am,rising,naver_top200,71.0,51-100,장어,Top200_확장후보,수산물,,N,61.31658,47.0948
2026-04-28,am,rising,naver_top200,72.0,51-100,킹크랩,Top200_확장후보,수산물,,N,29.05326,47.0948
2026-04-28,am,rising,naver_top200,73.0,51-100,프로폴리스,건강식품,건강식품,,Y,38.19492,46.78899
2026-04-28,am,rising,naver_top200,74.0,51-100,비타민d,건강식품,건강식품,,Y,92.81228,46.33027
2026-04-28,am,rising,naver_top200,75.0,51-100,땅콩버터,유제품,가공식품,,N,40.54431,45.41284
2026-04-28,am,rising,naver_top200,76.0,51-100,토마토,Top200_확장후보,농산물,,N,60.89096,51.95035
2026-04-28,am,rising,naver_top200,77.0,51-100,단백질쉐이크,브랜드상품,브랜드_완제품,,Y,91.16809,51.24113
2026-04-28,am,rising,naver_top200,78.0,51-100,레모너리,건강식품,건강식품,,Y,39.60113,50.53191
