product_name,price_type,itemname,kindname,countyname,marketname,yyyy,regday,price,full_regday,regday_dt,price_num,row_order
사과,retail,,,평균,,2026,04/10,"28,678",2026-04-10,2026-04-10,28678.0,70
사과,retail,,,평년,,2026,04/10,"25,497",2026-04-10,2026-04-10,25497.0,80
사과,retail,사과,후지(10개),서울,경동,2026,04/10,"25,000",2026-04-10,2026-04-10,25000.0,90
사과,retail,사과,후지(10개),서울,복조리,2026,04/10,"27,900",2026-04-10,2026-04-10,27900.0,100
사과,retail,사과,후지(10개),서울,A-유통,2026,04/10,"31,900",2026-04-10,2026-04-10,31900.0,110
사과,retail,사과,후지(10개),서울,B-유통,2026,04/10,"25,700",2026-04-10,2026-04-10,25700.0,120
사과,retail,사과,후지(10개),서울,B`-유통,2026,04/10,"25,900",2026-04-10,2026-04-10,25900.0,130
사과,retail,사과,후지(10개),서울,C-유통,2026,04/10,"27,900",2026-04-10,2026-04-10,27900.0,140
사과,retail,사과,후지(10개),서울,E-유통,2026,04/10,"27,900",2026-04-10,2026-04-10,27900.0,150
사과,retail,사과,후지(10개),서울,I-유통,2026,04/10,"19,800",2026-04-10,2026-04-10,19800.0,160
사과,retail,사과,후지(10개),서울,L-유통,2026,04/10,"24,300",2026-04-10,2026-04-10,24300.0,170
사과,retail,사과,후지(10개),부산,부전,2026,04/10,"28,600",2026-04-10,2026-04-10,28600.0,180
사과,retail,사과,후지(10개),부산,A-유통,2026,04/10,"31,900",2026-04-10,2026-04-10,31900.0,190
사과,retail,사과,후지(10개),부산,D-유통,2026,04/10,"24,800",2026-04-10,2026-04-10,24800.0,200
사과,retail,사과,후지(10개),부산,H-유통,2026,04/10,"19,800",2026-04-10,2026-04-10,19800.0,210
사과,retail,사과,후지(10개),대구,칠성,2026,04/10,"37,700",2026-04-10,2026-04-10,37700.0,220
사과,retail,사과,후지(10개),대구,A-유통,2026,04/10,"31,900",2026-04-10,2026-04-10,31900.0,230
사과,retail,사과,후지(10개),대구,E-유통,2026,04/10,"33,900",2026-04-10,2026-04-10,33900.0,240
사과,retail,사과,후지(10개),인천,현대,2026,04/10,"25,000",2026-04-10,2026-04-10,25000.0,250
사과,retail,사과,후지(10개),인천,E-유통,2026,04/10,"33,900",2026-04-10,2026-04-10,33900.0,260
사과,retail,사과,후지(10개),광주,양동,2026,04/10,"33,300",2026-04-10,2026-04-10,33300.0,270
사과,retail,사과,후지(10개),광주,A-유통,2026,04/10,"31,900",2026-04-10,2026-04-10,31900.0,280
사과,retail,사과,후지(10개),광주,E-유통,2026,04/10,"27,900",2026-04-10,2026-04-10,27900.0,290
사과,retail,사과,후지(10개),대전,역전,2026,04/10,"33,300",2026-04-10,2026-04-10,33300.0,300
사과,retail,사과,후지(10개),대전,A-유통,2026,04/10,"31,900",2026-04-10,2026-04-10,31900.0,310
사과,retail,사과,후지(10개),대전,E-유통,2026,04/10,"33,900",2026-04-10,2026-04-10,33900.0,320
사과,retail,사과,후지(10개),울산,신정,2026,04/10,"28,300",2026-04-10,2026-04-10,28300.0,330
사과,retail,사과,후지(10개),울산,B-유통,2026,04/10,"29,900",2026-04-10,2026-04-10,29900.0,340
사과,retail,사과,후지(10개),세종,C-유통,2026,04/10,"27,900",2026-04-10,2026-04-10,27900.0,350
사과,retail,사과,후지(10개),수원,지동,2026,04/10,"29,600",2026-04-10,2026-04-10,29600.0,360
사과,retail,사과,후지(10개),수원,B-유통,2026,04/10,"24,400",2026-04-10,2026-04-10,24400.0,370
사과,retail,사과,후지(10개),성남,B-유통,2026,04/10,"21,800",2026-04-10,2026-04-10,21800.0,380
사과,retail,사과,후지(10개),고양,B-유통,2026,04/10,"18,600",2026-04-10,2026-04-10,18600.0,390
사과,retail,사과,후지(10개),고양,J-유통,2026,04/10,"19,200",2026-04-10,2026-04-10,19200.0,400
사과,retail,사과,후지(10개),용인,C-유통,2026,04/10,"25,900",2026-04-10,2026-04-10,25900.0,410
사과,retail,사과,후지(10개),춘천,중앙,2026,04/10,"34,400",2026-04-10,2026-04-10,34400.0,420
사과,retail,사과,후지(10개),강릉,A-유통,2026,04/10,"31,900",2026-04-10,2026-04-10,31900.0,430
사과,retail,사과,후지(10개),청주,육거리,2026,04/10,"30,500",2026-04-10,2026-04-10,30500.0,440
사과,retail,사과,후지(10개),청주,B-유통,2026,04/10,"29,800",2026-04-10,2026-04-10,29800.0,450
사과,retail,사과,후지(10개),천안,C-유통,2026,04/10,"27,900",2026-04-10,2026-04-10,27900.0,460
사과,retail,사과,후지(10개),전주,남부,2026,04/10,"30,500",2026-04-10,2026-04-10,30500.0,470
사과,retail,사과,후지(10개),전주,C-유통,2026,04/10,"20,900",2026-04-10,2026-04-10,20900.0,480
사과,retail,사과,후지(10개),순천,역전,2026,04/10,"30,500",2026-04-10,2026-04-10,30500.0,490
사과,retail,사과,후지(10개),순천,A-유통,2026,04/10,"31,900",2026-04-10,2026-04-10,31900.0,500
사과,retail,사과,후지(10개),포항,죽도,2026,04/10,"27,700",2026-04-10,2026-04-10,27700.0,510
사과,retail,사과,후지(10개),포항,E-유통,2026,04/10,-,2026-04-10,2026-04-10,,520
사과,retail,사과,후지(10개),안동,C-유통,2026,04/10,"27,900",2026-04-10,2026-04-10,27900.0,530
사과,retail,사과,후지(10개),창원,상남,2026,04/10,"30,500",2026-04-10,2026-04-10,30500.0,540
사과,retail,사과,후지(10개),창원,C-유통,2026,04/10,"27,900",2026-04-10,2026-04-10,27900.0,550
사과,retail,사과,후지(10개),김해,A-유통,2026,04/10,"31,900",2026-04-10,2026-04-10,31900.0,560
사과,retail,사과,후지(10개),제주,동문,2026,04/10,"35,500",2026-04-10,2026-04-10,35500.0,570
사과,retail,사과,후지(10개),제주,E-유통,2026,04/10,"33,900",2026-04-10,2026-04-10,33900.0,580
사과,retail,,,평균,,2026,04/13,"28,820",2026-04-13,2026-04-13,28820.0,71
사과,retail,,,평년,,2026,04/13,"25,373",2026-04-13,2026-04-13,25373.0,81
사과,retail,사과,후지(10개),서울,경동,2026,04/13,"25,000",2026-04-13,2026-04-13,25000.0,91
사과,retail,사과,후지(10개),서울,복조리,2026,04/13,"27,900",2026-04-13,2026-04-13,27900.0,101
사과,retail,사과,후지(10개),서울,A-유통,2026,04/13,"31,900",2026-04-13,2026-04-13,31900.0,111
사과,retail,사과,후지(10개),서울,B-유통,2026,04/13,"28,500",2026-04-13,2026-04-13,28500.0,121
사과,retail,사과,후지(10개),서울,B`-유통,2026,04/13,"25,900",2026-04-13,2026-04-13,25900.0,131
사과,retail,사과,후지(10개),서울,C-유통,2026,04/13,"27,900",2026-04-13,2026-04-13,27900.0,141
사과,retail,사과,후지(10개),서울,E-유통,2026,04/13,"27,900",2026-04-13,2026-04-13,27900.0,151
사과,retail,사과,후지(10개),서울,I-유통,2026,04/13,"19,800",2026-04-13,2026-04-13,19800.0,161
사과,retail,사과,후지(10개),서울,L-유통,2026,04/13,"24,300",2026-04-13,2026-04-13,24300.0,171
사과,retail,사과,후지(10개),부산,부전,2026,04/13,"28,300",2026-04-13,2026-04-13,28300.0,181
사과,retail,사과,후지(10개),부산,A-유통,2026,04/13,"31,900",2026-04-13,2026-04-13,31900.0,191
사과,retail,사과,후지(10개),부산,D-유통,2026,04/13,"24,800",2026-04-13,2026-04-13,24800.0,201
사과,retail,사과,후지(10개),부산,H-유통,2026,04/13,"21,800",2026-04-13,2026-04-13,21800.0,211
사과,retail,사과,후지(10개),대구,칠성,2026,04/13,"37,700",2026-04-13,2026-04-13,37700.0,221
사과,retail,사과,후지(10개),대구,A-유통,2026,04/13,"31,900",2026-04-13,2026-04-13,31900.0,231
사과,retail,사과,후지(10개),대구,E-유통,2026,04/13,"33,900",2026-04-13,2026-04-13,33900.0,241
사과,retail,사과,후지(10개),인천,현대,2026,04/13,"27,700",2026-04-13,2026-04-13,27700.0,251
사과,retail,사과,후지(10개),인천,E-유통,2026,04/13,"33,900",2026-04-13,2026-04-13,33900.0,261
사과,retail,사과,후지(10개),광주,양동,2026,04/13,"33,300",2026-04-13,2026-04-13,33300.0,271
사과,retail,사과,후지(10개),광주,A-유통,2026,04/13,"31,900",2026-04-13,2026-04-13,31900.0,281
사과,retail,사과,후지(10개),광주,E-유통,2026,04/13,"27,900",2026-04-13,2026-04-13,27900.0,291
사과,retail,사과,후지(10개),대전,역전,2026,04/13,"33,300",2026-04-13,2026-04-13,33300.0,301
사과,retail,사과,후지(10개),대전,A-유통,2026,04/13,"31,900",2026-04-13,2026-04-13,31900.0,311
사과,retail,사과,후지(10개),대전,E-유통,2026,04/13,"33,900",2026-04-13,2026-04-13,33900.0,321
사과,retail,사과,후지(10개),울산,신정,2026,04/13,"28,300",2026-04-13,2026-04-13,28300.0,331
사과,retail,사과,후지(10개),울산,B-유통,2026,04/13,"29,900",2026-04-13,2026-04-13,29900.0,341
사과,retail,사과,후지(10개),세종,C-유통,2026,04/13,"29,900",2026-04-13,2026-04-13,29900.0,351
사과,retail,사과,후지(10개),수원,지동,2026,04/13,"29,600",2026-04-13,2026-04-13,29600.0,361
사과,retail,사과,후지(10개),수원,B-유통,2026,04/13,"24,400",2026-04-13,2026-04-13,24400.0,371
사과,retail,사과,후지(10개),성남,B-유통,2026,04/13,"21,800",2026-04-13,2026-04-13,21800.0,381
사과,retail,사과,후지(10개),고양,B-유통,2026,04/13,"18,600",2026-04-13,2026-04-13,18600.0,391
사과,retail,사과,후지(10개),고양,J-유통,2026,04/13,"19,200",2026-04-13,2026-04-13,19200.0,401
사과,retail,사과,후지(10개),용인,C-유통,2026,04/13,"25,900",2026-04-13,2026-04-13,25900.0,411
사과,retail,사과,후지(10개),춘천,중앙,2026,04/13,"34,400",2026-04-13,2026-04-13,34400.0,421
사과,retail,사과,후지(10개),강릉,A-유통,2026,04/13,"31,900",2026-04-13,2026-04-13,31900.0,431
사과,retail,사과,후지(10개),청주,육거리,2026,04/13,"30,500",2026-04-13,2026-04-13,30500.0,441
사과,retail,사과,후지(10개),청주,B-유통,2026,04/13,"29,800",2026-04-13,2026-04-13,29800.0,451
사과,retail,사과,후지(10개),천안,C-유통,2026,04/13,"27,900",2026-04-13,2026-04-13,27900.0,461
사과,retail,사과,후지(10개),전주,남부,2026,04/13,"30,500",2026-04-13,2026-04-13,30500.0,471
사과,retail,사과,후지(10개),전주,C-유통,2026,04/13,"20,900",2026-04-13,2026-04-13,20900.0,481
사과,retail,사과,후지(10개),순천,역전,2026,04/13,"30,500",2026-04-13,2026-04-13,30500.0,491
사과,retail,사과,후지(10개),순천,A-유통,2026,04/13,"31,900",2026-04-13,2026-04-13,31900.0,501
사과,retail,사과,후지(10개),포항,죽도,2026,04/13,"27,700",2026-04-13,2026-04-13,27700.0,511
사과,retail,사과,후지(10개),포항,E-유통,2026,04/13,-,2026-04-13,2026-04-13,,521
사과,retail,사과,후지(10개),안동,C-유통,2026,04/13,"27,900",2026-04-13,2026-04-13,27900.0,531
