product_name,period,search_ratio,search_keywords,shopping_ratio,shopping_keywords
bnr17유산균,2026-04-15,14.75004,bnr17유산균,41.76706,bnr17유산균
bnr17유산균,2026-04-16,15.9751,bnr17유산균,45.18072,bnr17유산균
bnr17유산균,2026-04-17,17.28907,bnr17유산균,46.98795,bnr17유산균
bnr17유산균,2026-04-18,17.35822,bnr17유산균,44.57831,bnr17유산균
bnr17유산균,2026-04-19,23.78976,bnr17유산균,54.01606,bnr17유산균
bnr17유산균,2026-04-20,23.26615,bnr17유산균,41.76706,bnr17유산균
bnr17유산균,2026-04-21,17.89172,bnr17유산균,50.2008,bnr17유산균
bnr17유산균,2026-04-22,9.31634,bnr17유산균,30.32128,bnr17유산균
bnr17유산균,2026-04-23,16.37028,bnr17유산균,26.90763,bnr17유산균
bnr17유산균,2026-04-24,25.50879,bnr17유산균,54.61847,bnr17유산균
bnr17유산균,2026-04-25,14.71053,bnr17유산균,32.32931,bnr17유산균
bnr17유산균,2026-04-26,19.25508,bnr17유산균,98.39357,bnr17유산균
bnr17유산균,2026-04-27,17.7534,bnr17유산균,36.94779,bnr17유산균
bnr17유산균,2026-04-28,18.92906,bnr17유산균,43.37349,bnr17유산균
cca주스,2026-04-15,30.20489,cca주스,44.11764,cca주스
cca주스,2026-04-16,27.49504,cca주스,46.84873,cca주스
cca주스,2026-04-17,25.24785,cca주스,35.92436,cca주스
cca주스,2026-04-18,25.7105,cca주스,46.21848,cca주스
cca주스,2026-04-19,29.14738,cca주스,48.73949,cca주스
cca주스,2026-04-20,34.23661,cca주스,51.89075,cca주스
cca주스,2026-04-21,29.08129,cca주스,49.15966,cca주스
cca주스,2026-04-22,25.84269,cca주스,42.64705,cca주스
cca주스,2026-04-23,32.38598,cca주스,39.07563,cca주스
cca주스,2026-04-24,24.05816,cca주스,43.90756,cca주스
cca주스,2026-04-25,24.91738,cca주스,30.2521,cca주스
cca주스,2026-04-26,28.48645,cca주스,100.0,cca주스
cca주스,2026-04-27,30.73364,cca주스,48.73949,cca주스
cca주스,2026-04-28,29.47785,cca주스,44.53781,cca주스
la갈비,2026-04-15,36.57754,la갈비,22.9064,la갈비
la갈비,2026-04-16,38.75222,la갈비,22.04433,la갈비
la갈비,2026-04-17,36.61319,la갈비,15.64039,la갈비
la갈비,2026-04-18,31.87165,la갈비,13.30049,la갈비
la갈비,2026-04-19,36.96969,la갈비,18.59605,la갈비
la갈비,2026-04-20,37.00534,la갈비,30.17241,la갈비
la갈비,2026-04-21,41.21212,la갈비,28.44827,la갈비
la갈비,2026-04-22,40.4991,la갈비,27.09359,la갈비
la갈비,2026-04-23,35.04456,la갈비,18.4729,la갈비
la갈비,2026-04-24,34.22459,la갈비,24.87684,la갈비
la갈비,2026-04-25,34.01069,la갈비,22.78325,la갈비
la갈비,2026-04-26,40.89126,la갈비,48.52216,la갈비
la갈비,2026-04-27,47.66488,la갈비,44.58128,la갈비
la갈비,2026-04-28,45.24064,la갈비,33.37438,la갈비
가리비,2026-04-15,29.10365,가리비,27.53036,가리비
가리비,2026-04-16,27.81261,가리비,36.23481,가리비
가리비,2026-04-17,25.11988,가리비,27.53036,가리비
가리비,2026-04-18,18.88601,가리비,13.56275,가리비
가리비,2026-04-19,21.94762,가리비,8.90688,가리비
가리비,2026-04-20,26.00516,가리비,23.68421,가리비
가리비,2026-04-21,26.07893,가리비,20.44534,가리비
가리비,2026-04-22,26.89044,가리비,30.97165,가리비
가리비,2026-04-23,29.95204,가리비,36.63967,가리비
가리비,2026-04-24,25.52563,가리비,30.36437,가리비
가리비,2026-04-25,21.06233,가리비,13.76518,가리비
가리비,2026-04-26,23.68129,가리비,37.24696,가리비
가리비,2026-04-27,31.53817,가리비,37.24696,가리비
가리비,2026-04-28,35.78015,가리비,44.93927,가리비
가죽나물,2026-04-15,43.45846,가죽나물,35.47215,가죽나물
가죽나물,2026-04-16,47.76889,가죽나물,40.5569,가죽나물
가죽나물,2026-04-17,53.54649,가죽나물,39.10411,가죽나물
가죽나물,2026-04-18,58.94971,가죽나물,35.59322,가죽나물
가죽나물,2026-04-19,66.86228,가죽나물,39.95157,가죽나물
가죽나물,2026-04-20,65.33441,가죽나물,49.6368,가죽나물
가죽나물,2026-04-21,59.97166,가죽나물,36.07748,가죽나물
가죽나물,2026-04-22,55.01365,가죽나물,36.19854,가죽나물
가죽나물,2026-04-23,52.25134,가죽나물,36.31961,가죽나물
가죽나물,2026-04-24,42.65911,가죽나물,31.35593,가죽나물
가죽나물,2026-04-25,44.00485,가죽나물,33.65617,가죽나물
가죽나물,2026-04-26,44.33876,가죽나물,58.35351,가죽나물
가죽나물,2026-04-27,38.32844,가죽나물,31.47699,가죽나물
가죽나물,2026-04-28,32.35859,가죽나물,37.4092,가죽나물
간장게장,2026-04-15,79.02607,간장게장,44.95967,간장게장
간장게장,2026-04-16,80.75153,간장게장,36.69354,간장게장
간장게장,2026-04-17,74.84662,간장게장,38.30645,간장게장
간장게장,2026-04-18,88.45858,간장게장,21.16935,간장게장
간장게장,2026-04-19,97.2776,간장게장,35.68548,간장게장
간장게장,2026-04-20,85.85122,간장게장,72.37903,간장게장
간장게장,2026-04-21,83.85736,간장게장,52.01612,간장게장
간장게장,2026-04-22,84.04907,간장게장,38.10483,간장게장
간장게장,2026-04-23,75.92024,간장게장,31.65322,간장게장
간장게장,2026-04-24,72.58435,간장게장,43.34677,간장게장
간장게장,2026-04-25,82.74539,간장게장,24.39516,간장게장
간장게장,2026-04-26,100.0,간장게장,55.24193,간장게장
간장게장,2026-04-27,85.58282,간장게장,44.15322,간장게장
간장게장,2026-04-28,86.46472,간장게장,47.98387,간장게장
감자,2026-04-15,10.03634,감자,38.20224,감자
감자,2026-04-16,10.15436,감자,33.30658,감자
감자,2026-04-17,9.75782,감자,35.87479,감자
감자,2026-04-18,9.03082,감자,27.60834,감자
감자,2026-04-19,9.81447,감자,25.52166,감자
감자,2026-04-20,9.90416,감자,37.7207,감자
감자,2026-04-21,10.15908,감자,36.59711,감자
감자,2026-04-22,11.09852,감자,44.86356,감자
감자,2026-04-23,10.16381,감자,34.1894,감자
감자,2026-04-24,8.28494,감자,29.69502,감자
감자,2026-04-25,7.32662,감자,25.92295,감자
감자,2026-04-26,8.61067,감자,76.24398,감자
감자,2026-04-27,10.05051,감자,43.09791,감자
감자,2026-04-28,10.09771,감자,47.11075,감자
갑오징어,2026-04-15,43.74331,갑오징어,24.01477,갑오징어
갑오징어,2026-04-16,40.81996,갑오징어,26.84729,갑오징어
갑오징어,2026-04-17,41.92513,갑오징어,21.67487,갑오징어
갑오징어,2026-04-18,43.92156,갑오징어,15.39408,갑오징어
갑오징어,2026-04-19,45.8467,갑오징어,20.93596,갑오징어
갑오징어,2026-04-20,48.8057,갑오징어,26.84729,갑오징어
갑오징어,2026-04-21,47.41532,갑오징어,29.31034,갑오징어
갑오징어,2026-04-22,43.60071,갑오징어,29.18719,갑오징어
갑오징어,2026-04-23,46.59536,갑오징어,28.94088,갑오징어
갑오징어,2026-04-24,47.30837,갑오징어,21.18226,갑오징어
갑오징어,2026-04-25,51.80035,갑오징어,14.16256,갑오징어
갑오징어,2026-04-26,46.0606,갑오징어,38.91625,갑오징어
갑오징어,2026-04-27,68.27094,갑오징어,37.80788,갑오징어
갑오징어,2026-04-28,64.84848,갑오징어,33.12807,갑오징어
검은콩두유,2026-04-15,42.0693,검은콩두유,44.9468,검은콩두유
검은콩두유,2026-04-16,44.07027,검은콩두유,41.48936,검은콩두유
검은콩두유,2026-04-17,35.67593,검은콩두유,46.54255,검은콩두유
검은콩두유,2026-04-18,36.50561,검은콩두유,31.38297,검은콩두유
검은콩두유,2026-04-19,43.97266,검은콩두유,41.48936,검은콩두유
검은콩두유,2026-04-20,47.53538,검은콩두유,50.26595,검은콩두유
