date,slot,source_type,source,product_name,canonical_product_name,rank,rank_range,prev_rank,rank_change,rank_direction,rank_change_label,is_new_entry,is_reentry,last_seen_date,last_seen_slot,last_seen_rank,days_since_last_seen,days_seen_7d,days_seen_14d,consecutive_days,best_rank_14d,worst_rank_14d,rank_velocity_3d,rising_stage,rising_score,rising_reason,rising_level,confidence_level,action_level,stable_summary,product_group,sub_group,original_product_group,exclude_from_opportunity,exclude_reason,note
2026-04-26,pm,rising,naver_top200,당근,당근,47,21-50,84.0,37.0,up,▲ 37단계,N,N,2026-04-25,pm,84.0,1.0,4,4,4,47,100,53.0,NAVER_RISING_FAST,93.0,Top20 진입 직전 구간 · 전 스냅샷 대비 급상승 · 최근 3일 상승 속도 빠름 · 최근 7일 중 4일 등장 · 4일 연속 등장,PRIORITY,high,시장 데이터 확인 필요,"당근은 네이버 예비 인기권에서 우선 관찰이 필요한 후보입니다. 현재 47위이며, 최근 7일 중 4일 등장했습니다.",agri,뿌리채소,농산물,N,,21~50_전량수집
2026-04-26,pm,rising,naver_top200,냉면,냉면,90,51-100,166.0,76.0,up,▲ 76단계,N,N,2026-04-25,pm,166.0,1.0,4,4,4,90,174,84.0,NAVER_WARMING_FAST,85.0,중위권 관심 형성 구간 · 전 스냅샷 대비 급상승 · 최근 3일 상승 속도 빠름 · 최근 7일 중 4일 등장 · 4일 연속 등장,WARMING,high,관찰 강화,"냉면은 관심 형성 구간에 있는 후보입니다. 현재 90위이며, 순위 변화는 ▲ 76단계입니다.",processed,간편식/반찬,가공식품,N,,반찬_가공식품
2026-04-26,pm,rising,naver_top200,계란,계란,31,21-50,53.0,22.0,up,▲ 22단계,N,N,2026-04-25,pm,53.0,1.0,3,3,3,31,63,32.0,NAVER_RISING_FAST,80.0,Top20 진입 직전 구간 · 전 스냅샷 대비 상승 · 최근 3일 상승 속도 빠름 · 3일 연속 등장,PRIORITY,high,시장 데이터 확인 필요,"계란은 네이버 예비 인기권에서 우선 관찰이 필요한 후보입니다. 현재 31위이며, 최근 7일 중 3일 등장했습니다.",meat,계란,가공식품,N,,축산_가공식품
2026-04-26,pm,rising,naver_top200,수향미,수향미,78,51-100,127.0,49.0,up,▲ 49단계,N,N,2026-04-25,pm,127.0,1.0,4,4,4,78,130,52.0,NAVER_WARMING_FAST,80.0,중위권 관심 형성 구간 · 전 스냅샷 대비 급상승 · 최근 3일 상승 속도 빠름 · 최근 7일 중 4일 등장 · 4일 연속 등장,WARMING,high,관찰 강화,"수향미은 관심 형성 구간에 있는 후보입니다. 현재 78위이며, 순위 변화는 ▲ 49단계입니다.",grain,쌀,농산물,N,,Top200_확장후보
2026-04-26,pm,rising,naver_top200,냉동블루베리,냉동블루베리,29,21-50,44.0,15.0,up,▲ 15단계,N,N,2026-04-25,pm,44.0,1.0,4,4,4,29,64,35.0,NAVER_RISING_FAST,79.0,Top20 진입 직전 구간 · 전 스냅샷 대비 상승 · 최근 3일 상승 속도 빠름 · 최근 7일 중 4일 등장 · 4일 연속 등장,PRIORITY,high,시장 데이터 확인 필요,"냉동블루베리은 네이버 예비 인기권에서 우선 관찰이 필요한 후보입니다. 현재 29위이며, 최근 7일 중 4일 등장했습니다.",processed,가공식품,가공식품,N,,블루베리_냉동과일
2026-04-26,pm,rising,naver_top200,수향미10kg,수향미10kg,48,21-50,56.0,8.0,up,▲ 8단계,N,N,2026-04-25,pm,56.0,1.0,4,4,4,46,102,54.0,NAVER_RISING_FAST,78.0,Top20 진입 직전 구간 · 최근 3일 상승 속도 빠름 · 최근 7일 중 4일 등장 · 4일 연속 등장,PRIORITY,high,시장 데이터 확인 필요,"수향미10kg은 네이버 예비 인기권에서 우선 관찰이 필요한 후보입니다. 현재 48위이며, 최근 7일 중 4일 등장했습니다.",grain,쌀,농산물,N,,21~50_전량수집
2026-04-26,pm,rising,naver_top200,병아리콩,병아리콩,30,21-50,57.0,27.0,up,▲ 27단계,N,N,2026-04-25,pm,57.0,1.0,4,4,4,30,57,19.0,NAVER_RISING_FAST,76.0,Top20 진입 직전 구간 · 전 스냅샷 대비 상승 · 최근 3일 상승 흐름 · 최근 7일 중 4일 등장 · 4일 연속 등장,PRIORITY,high,시장 데이터 확인 필요,"병아리콩은 네이버 예비 인기권에서 우선 관찰이 필요한 후보입니다. 현재 30위이며, 최근 7일 중 4일 등장했습니다.",grain,콩/잡곡,농산물,N,,21~50_전량수집
2026-04-26,pm,rising,naver_top200,암꽃게,암꽃게,34,21-50,68.0,34.0,up,▲ 34단계,N,N,2026-04-25,pm,68.0,1.0,4,4,4,34,68,8.0,NAVER_RISING_FAST,75.0,Top20 진입 직전 구간 · 전 스냅샷 대비 급상승 · 최근 7일 중 4일 등장 · 4일 연속 등장,PRIORITY,high,시장 데이터 확인 필요,"암꽃게은 네이버 예비 인기권에서 우선 관찰이 필요한 후보입니다. 현재 34위이며, 최근 7일 중 4일 등장했습니다.",seafood,갑각류,수산물,N,,21~50_전량수집
2026-04-26,pm,rising,naver_top200,딸기,딸기,93,51-100,117.0,24.0,up,▲ 24단계,N,N,2026-04-25,pm,117.0,1.0,4,4,4,93,170,77.0,NAVER_WARMING_FAST,75.0,중위권 관심 형성 구간 · 전 스냅샷 대비 상승 · 최근 3일 상승 속도 빠름 · 최근 7일 중 4일 등장 · 4일 연속 등장,WARMING,high,관찰 강화,"딸기은 관심 형성 구간에 있는 후보입니다. 현재 93위이며, 순위 변화는 ▲ 24단계입니다.",agri,과일,농산물,N,,Top200_확장후보
2026-04-26,pm,rising,naver_top200,진미채,진미채,95,51-100,161.0,66.0,up,▲ 66단계,N,N,2026-04-25,pm,161.0,1.0,4,4,4,91,161,17.0,NAVER_WARMING_FAST,73.0,중위권 관심 형성 구간 · 전 스냅샷 대비 급상승 · 최근 3일 상승 흐름 · 최근 7일 중 4일 등장 · 4일 연속 등장,WARMING,high,관찰 강화,"진미채은 관심 형성 구간에 있는 후보입니다. 현재 95위이며, 순위 변화는 ▲ 66단계입니다.",seafood,건어물,가공식품,N,,수산_가공식품
