date,slot,source_type,source,product_name,canonical_product_name,rank,rank_range,prev_rank,rank_change,rank_direction,rank_change_label,is_new_entry,is_reentry,last_seen_date,last_seen_slot,last_seen_rank,days_since_last_seen,days_seen_7d,days_seen_14d,consecutive_days,best_rank_14d,worst_rank_14d,rank_velocity_3d,rising_stage,rising_score,rising_reason,rising_level,confidence_level,action_level,stable_summary,product_group,sub_group,original_product_group,exclude_from_opportunity,exclude_reason,note
2026-04-28,am,rising,naver_top200,시오콘부,시오콘부,40,21-50,128.0,88.0,up,▲ 88단계,N,N,2026-04-27,pm,128.0,1.0,6,6,6,40,192,152.0,NAVER_RISING_FAST,100.0,Top20 진입 직전 구간 · 전 스냅샷 대비 급상승 · 최근 3일 상승 속도 빠름 · 최근 7일 중 6일 등장 · 6일 연속 등장,PRIORITY,high,시장 데이터 확인 필요,"시오콘부은 네이버 예비 인기권에서 우선 관찰이 필요한 후보입니다. 현재 40위이며, 최근 7일 중 6일 등장했습니다.",seafood,해조류,가공식품,N,,수산_가공식품
2026-04-28,am,rising,naver_top200,참기름,참기름,57,51-100,123.0,66.0,up,▲ 66단계,N,N,2026-04-27,pm,123.0,1.0,6,6,6,57,146,89.0,NAVER_WARMING_FAST,92.0,중위권 관심 형성 구간 · 전 스냅샷 대비 급상승 · 최근 3일 상승 속도 빠름 · 최근 7일 중 6일 등장 · 6일 연속 등장,WARMING,high,관찰 강화,"참기름은 관심 형성 구간에 있는 후보입니다. 현재 57위이며, 순위 변화는 ▲ 66단계입니다.",ingredient,오일/유지,가공식품,N,,참깨_원재료_가공식품
2026-04-28,am,rising,naver_top200,새조개,새조개,79,51-100,116.0,37.0,up,▲ 37단계,N,N,2026-04-27,pm,116.0,1.0,6,6,6,45,169,90.0,NAVER_WARMING_FAST,87.0,중위권 관심 형성 구간 · 전 스냅샷 대비 급상승 · 최근 3일 상승 속도 빠름 · 최근 7일 중 6일 등장 · 6일 연속 등장,WARMING,high,관찰 강화,"새조개은 관심 형성 구간에 있는 후보입니다. 현재 79위이며, 순위 변화는 ▲ 37단계입니다.",seafood,패류,수산물,N,,Top200_확장후보
2026-04-28,am,rising,naver_top200,가죽나물,가죽나물,70,51-100,103.0,33.0,up,▲ 33단계,N,N,2026-04-27,pm,103.0,1.0,6,6,6,47,103,32.0,NAVER_WARMING_FAST,83.0,중위권 관심 형성 구간 · 전 스냅샷 대비 급상승 · 최근 3일 상승 속도 빠름 · 최근 7일 중 6일 등장 · 6일 연속 등장,WARMING,high,관찰 강화,"가죽나물은 관심 형성 구간에 있는 후보입니다. 현재 70위이며, 순위 변화는 ▲ 33단계입니다.",agri,엽채/나물,agri,N,,Top200_확장후보
2026-04-28,am,rising,naver_top200,전복,전복,49,21-50,46.0,-3.0,down,▼ 3단계,N,N,2026-04-27,pm,46.0,1.0,6,6,6,46,128,68.0,NAVER_RISING_FAST,79.1,Top20 진입 직전 구간 · 순위 하락 · 최근 3일 상승 속도 빠름 · 최근 7일 중 6일 등장 · 6일 연속 등장,PRIORITY,high,시장 데이터 확인 필요,"전복은 네이버 예비 인기권에서 우선 관찰이 필요한 후보입니다. 현재 49위이며, 최근 7일 중 6일 등장했습니다.",seafood,패류,수산물,N,,21~50_전량수집
2026-04-28,am,rising,naver_top200,복숭아,복숭아,100,51-100,142.0,42.0,up,▲ 42단계,N,N,2026-04-27,pm,142.0,1.0,6,6,6,87,142,26.0,NAVER_WARMING_FAST,79.0,중위권 관심 형성 구간 · 전 스냅샷 대비 급상승 · 최근 3일 상승 흐름 · 최근 7일 중 6일 등장 · 6일 연속 등장,WARMING,high,관찰 강화,"복숭아은 관심 형성 구간에 있는 후보입니다. 현재 100위이며, 순위 변화는 ▲ 42단계입니다.",agri,과일,농산물,N,,Top200_확장후보
2026-04-28,am,rising,naver_top200,블루베리,블루베리,34,21-50,62.0,28.0,up,▲ 28단계,N,N,2026-04-27,pm,62.0,1.0,6,6,6,26,62,4.0,NAVER_RISING_FAST,77.0,Top20 진입 직전 구간 · 전 스냅샷 대비 상승 · 최근 7일 중 6일 등장 · 6일 연속 등장,PRIORITY,high,시장 데이터 확인 필요,"블루베리은 네이버 예비 인기권에서 우선 관찰이 필요한 후보입니다. 현재 34위이며, 최근 7일 중 6일 등장했습니다.",agri,과일,농산물,N,,21~50_전량수집
2026-04-28,am,rising,naver_top200,수박,수박,31,21-50,40.0,9.0,up,▲ 9단계,N,N,2026-04-27,pm,40.0,1.0,6,6,6,27,42,11.0,NAVER_RISING,73.0,Top20 진입 직전 구간 · 최근 3일 상승 흐름 · 최근 7일 중 6일 등장 · 6일 연속 등장,PRIORITY,high,시장 데이터 확인 필요,"수박은 네이버 예비 인기권에서 우선 관찰이 필요한 후보입니다. 현재 31위이며, 최근 7일 중 6일 등장했습니다.",agri,과일,농산물,N,,21~50_전량수집
2026-04-28,am,rising,naver_top200,카라향,카라향,38,21-50,45.0,7.0,up,▲ 7단계,N,N,2026-04-27,pm,45.0,1.0,6,6,6,37,49,11.0,NAVER_RISING,73.0,Top20 진입 직전 구간 · 최근 3일 상승 흐름 · 최근 7일 중 6일 등장 · 6일 연속 등장,PRIORITY,high,시장 데이터 확인 필요,"카라향은 네이버 예비 인기권에서 우선 관찰이 필요한 후보입니다. 현재 38위이며, 최근 7일 중 6일 등장했습니다.",agri,과일,농산물,N,,21~50_전량수집
2026-04-28,am,rising,naver_top200,킹크랩,킹크랩,72,51-100,111.0,39.0,up,▲ 39단계,N,N,2026-04-27,pm,111.0,1.0,5,5,2,72,196,39.0,NAVER_WARMING_FAST,72.0,중위권 관심 형성 구간 · 전 스냅샷 대비 급상승 · 최근 3일 상승 속도 빠름 · 최근 7일 중 5일 등장,WARMING,high,관찰 강화,"킹크랩은 관심 형성 구간에 있는 후보입니다. 현재 72위이며, 순위 변화는 ▲ 39단계입니다.",seafood,갑각류,수산물,N,,Top200_확장후보
2026-04-28,am,rising,naver_top200,카네이션쿠키,카네이션쿠키,41,21-50,24.0,-17.0,down,▼ 17단계,N,N,2026-04-27,pm,24.0,1.0,6,6,6,24,126,35.0,NAVER_RISING_FAST,70.9,Top20 진입 직전 구간 · 순위 하락 · 최근 3일 상승 속도 빠름 · 최근 7일 중 6일 등장 · 6일 연속 등장,PRIORITY,high,시장 데이터 확인 필요,"카네이션쿠키은 네이버 예비 인기권에서 우선 관찰이 필요한 후보입니다. 현재 41위이며, 최근 7일 중 6일 등장했습니다.",gift,기념일,가공식품,N,,디저트/떡
2026-04-28,am,rising,naver_top200,쭈꾸미,쭈꾸미,27,21-50,27.0,0.0,flat,변동없음,N,N,2026-04-27,pm,27.0,1.0,5,5,5,26,53,26.0,NAVER_RISING_FAST,69.0,Top20 진입 직전 구간 · 최근 3일 상승 흐름 · 최근 7일 중 5일 등장 · 5일 연속 등장,PRIORITY,high,시장 데이터 확인 필요,"쭈꾸미은 네이버 예비 인기권에서 우선 관찰이 필요한 후보입니다. 현재 27위이며, 최근 7일 중 5일 등장했습니다.",seafood,생선/수산물,수산물,N,,21~50_전량수집
2026-04-28,am,rising,naver_top200,민물장어,민물장어,111,101-200,171.0,60.0,up,▲ 60단계,N,N,2026-04-27,pm,171.0,1.0,4,4,2,111,189,60.0,NAVER_WATCH,69.0,초기 관찰 구간 · 전 스냅샷 대비 급상승 · 최근 3일 상승 속도 빠름 · 최근 7일 중 4일 등장,WATCH,high,추가 관찰,민물장어은 초기 관찰 후보입니다. 최근 3일 기준 60단계 상승 흐름이 확인됩니다.,seafood,생선/수산물,수산물,N,,Top200_확장후보
2026-04-28,am,rising,naver_top200,병아리콩,병아리콩,46,21-50,60.0,14.0,up,▲ 14단계,N,N,2026-04-27,pm,60.0,1.0,6,6,6,30,60,-16.0,NAVER_RISING,68.8,Top20 진입 직전 구간 · 전 스냅샷 대비 상승 · 최근 7일 중 6일 등장 · 6일 연속 등장,PRIORITY,high,시장 데이터 확인 필요,"병아리콩은 네이버 예비 인기권에서 우선 관찰이 필요한 후보입니다. 현재 46위이며, 최근 7일 중 6일 등장했습니다.",grain,콩/잡곡,농산물,N,,21~50_전량수집
2026-04-28,am,rising,naver_top200,구운계란,구운계란,33,21-50,34.0,1.0,up,▲ 1단계,N,N,2026-04-27,pm,34.0,1.0,6,6,6,23,36,0.0,NAVER_RISING,67.0,Top20 진입 직전 구간 · 최근 7일 중 6일 등장 · 6일 연속 등장,PRIORITY,high,시장 데이터 확인 필요,"구운계란은 네이버 예비 인기권에서 우선 관찰이 필요한 후보입니다. 현재 33위이며, 최근 7일 중 6일 등장했습니다.",processed,축산가공,가공식품,N,,축산_가공식품
2026-04-28,am,rising,naver_top200,오이,오이,30,21-50,25.0,-5.0,down,▼ 5단계,N,N,2026-04-27,pm,25.0,1.0,6,6,6,25,51,11.0,NAVER_RISING,66.5,Top20 진입 직전 구간 · 순위 하락 · 최근 3일 상승 흐름 · 최근 7일 중 6일 등장 · 6일 연속 등장,PRIORITY,high,시장 데이터 확인 필요,"오이은 네이버 예비 인기권에서 우선 관찰이 필요한 후보입니다. 현재 30위이며, 최근 7일 중 6일 등장했습니다.",agri,과채류,농산물,N,,21~50_전량수집
2026-04-28,am,rising,naver_top200,장어,장어,71,51-100,68.0,-3.0,down,▼ 3단계,N,N,2026-04-27,pm,68.0,1.0,6,6,6,68,169,81.0,NAVER_WARMING_FAST,66.1,중위권 관심 형성 구간 · 순위 하락 · 최근 3일 상승 속도 빠름 · 최근 7일 중 6일 등장 · 6일 연속 등장,WARMING,high,관찰 강화,"장어은 관심 형성 구간에 있는 후보입니다. 현재 71위이며, 순위 변화는 ▼ 3단계입니다.",seafood,생선/수산물,수산물,N,,Top200_확장후보
2026-04-28,am,rising,naver_top200,캠핑음식,캠핑음식,64,51-100,107.0,43.0,up,▲ 43단계,N,N,2026-04-27,pm,107.0,1.0,2,2,2,64,107,43.0,NAVER_WARMING_FAST,64.0,중위권 관심 형성 구간 · 전 스냅샷 대비 급상승 · 최근 3일 상승 속도 빠름,WARMING,medium,관찰 강화,"캠핑음식은 관심 형성 구간에 있는 후보입니다. 현재 64위이며, 순위 변화는 ▲ 43단계입니다.",processed,가공식품,가공식품,N,,반찬_가공식품
2026-04-28,am,rising,naver_top200,토마토,토마토,76,51-100,82.0,6.0,up,▲ 6단계,N,N,2026-04-27,pm,82.0,1.0,6,6,6,62,121,28.0,NAVER_WARMING_FAST,64.0,중위권 관심 형성 구간 · 최근 3일 상승 흐름 · 최근 7일 중 6일 등장 · 6일 연속 등장,WARMING,high,관찰 강화,"토마토은 관심 형성 구간에 있는 후보입니다. 현재 76위이며, 순위 변화는 ▲ 6단계입니다.",agri,과채류,농산물,N,,Top200_확장후보
