product_name,period,shopping_ratio,shopping_keywords
bnr17유산균,2026-04-15,41.76706,bnr17유산균
bnr17유산균,2026-04-16,45.18072,bnr17유산균
bnr17유산균,2026-04-17,46.98795,bnr17유산균
bnr17유산균,2026-04-18,44.57831,bnr17유산균
bnr17유산균,2026-04-19,54.01606,bnr17유산균
bnr17유산균,2026-04-20,41.76706,bnr17유산균
bnr17유산균,2026-04-21,50.2008,bnr17유산균
bnr17유산균,2026-04-22,30.32128,bnr17유산균
bnr17유산균,2026-04-23,26.90763,bnr17유산균
bnr17유산균,2026-04-24,54.61847,bnr17유산균
bnr17유산균,2026-04-25,32.32931,bnr17유산균
bnr17유산균,2026-04-26,98.39357,bnr17유산균
bnr17유산균,2026-04-27,36.94779,bnr17유산균
bnr17유산균,2026-04-28,43.37349,bnr17유산균
cca주스,2026-04-15,44.11764,cca주스
cca주스,2026-04-16,46.84873,cca주스
cca주스,2026-04-17,35.92436,cca주스
cca주스,2026-04-18,46.21848,cca주스
cca주스,2026-04-19,48.73949,cca주스
cca주스,2026-04-20,51.89075,cca주스
cca주스,2026-04-21,49.15966,cca주스
cca주스,2026-04-22,42.64705,cca주스
cca주스,2026-04-23,39.07563,cca주스
cca주스,2026-04-24,43.90756,cca주스
cca주스,2026-04-25,30.2521,cca주스
cca주스,2026-04-26,100,cca주스
cca주스,2026-04-27,48.73949,cca주스
cca주스,2026-04-28,44.53781,cca주스
la갈비,2026-04-15,22.9064,la갈비
la갈비,2026-04-16,22.04433,la갈비
la갈비,2026-04-17,15.64039,la갈비
la갈비,2026-04-18,13.30049,la갈비
la갈비,2026-04-19,18.59605,la갈비
la갈비,2026-04-20,30.17241,la갈비
la갈비,2026-04-21,28.44827,la갈비
la갈비,2026-04-22,27.09359,la갈비
la갈비,2026-04-23,18.4729,la갈비
la갈비,2026-04-24,24.87684,la갈비
la갈비,2026-04-25,22.78325,la갈비
la갈비,2026-04-26,48.52216,la갈비
la갈비,2026-04-27,44.58128,la갈비
la갈비,2026-04-28,33.37438,la갈비
가리비,2026-04-15,27.53036,가리비
가리비,2026-04-16,36.23481,가리비
가리비,2026-04-17,27.53036,가리비
가리비,2026-04-18,13.56275,가리비
가리비,2026-04-19,8.90688,가리비
가리비,2026-04-20,23.68421,가리비
가리비,2026-04-21,20.44534,가리비
가리비,2026-04-22,30.97165,가리비
가리비,2026-04-23,36.63967,가리비
가리비,2026-04-24,30.36437,가리비
가리비,2026-04-25,13.76518,가리비
가리비,2026-04-26,37.24696,가리비
가리비,2026-04-27,37.24696,가리비
가리비,2026-04-28,44.93927,가리비
가죽나물,2026-04-15,35.47215,가죽나물
가죽나물,2026-04-16,40.5569,가죽나물
가죽나물,2026-04-17,39.10411,가죽나물
가죽나물,2026-04-18,35.59322,가죽나물
가죽나물,2026-04-19,39.95157,가죽나물
