date,rank,product_name,slot,search_ratio,shopping_ratio
2026-04-28,1,닭가슴살,am,74.97236,46.68218
2026-04-28,2,쌀20kg,am,24.69599,46.50756
2026-04-28,3,쌀10kg,am,25.0608,44.06286
2026-04-28,4,오메가3,am,82.32367,43.94644
2026-04-28,5,마늘쫑,am,35.81693,42.14202
2026-04-28,6,참외,am,15.79568,57.78491
2026-04-28,7,창억떡,am,71.87839,54.01284
2026-04-28,8,마그네슘,am,17.89642,47.67255
2026-04-28,9,감자,am,10.09771,47.11075
2026-04-28,10,콜라겐,am,10.81055,46.22792
2026-04-28,11,촉촉한황치즈칩,am,44.20169,55.53398
2026-04-28,12,꽃게,am,10.83753,54.07766
2026-04-28,13,유산균,am,12.74159,51.55339
2026-04-28,14,비타민c,am,12.93614,50.87378
2026-04-28,15,어버이날선물,am,55.89079,50.58252
2026-04-28,16,망고,am,62.42355,48.83945
2026-04-28,17,올리브오일,am,84.82446,48.25918
2026-04-28,18,임박,am,8.28992,47.29206
2026-04-28,19,암꽃게,am,42.74065,46.42166
2026-04-28,20,레몬즙,am,39.72819,45.06769
