product_name,auction_date,avg_auction_price,weighted_avg_auction_price,high_price,low_price,total_trade_qty,row_count,valid_row_count,outlier_count,market_count,corp_count,variety_count,raw_high_price,raw_low_price
가죽나물,2026-05-04,7073.2,7397.7,24000.0,1600.0,660.8,61,56,5,14,22,5,33600.0,1500.0
감자,2026-05-04,52027.8,58997.7,77000.0,15000.0,174230.0,258,255,3,7,9,3,77000.0,12500.0
고구마,2026-05-04,20625.7,22271.1,33000.0,8000.0,44140.0,209,202,7,4,4,2,35000.0,3000.0
냉동블루베리,2026-05-04,32740.5,32833.3,60000.0,18000.0,24112.5,1664,1526,138,26,64,5,227700.0,2300.0
단호박,2026-05-04,13443.6,13367.2,23000.0,7500.0,20632.0,160,159,1,18,23,4,23000.0,7000.0
당근,2026-05-04,26433.0,26446.7,36600.0,8000.0,256980.0,278,264,14,12,24,3,37600.0,22.0
두릅,2026-05-04,11185.4,11861.0,36000.0,3000.0,3264.9,350,336,14,14,25,5,44000.0,1000.0
딸기,2026-05-04,20209.1,18143.7,33000.0,5500.0,1225.0,82,77,5,3,3,3,33000.0,2000.0
마늘쫑,2026-05-04,12237.6,15699.5,26000.0,2200.0,114655.3,949,674,275,29,59,4,1400100.0,600.0
망고,2026-05-04,65064.4,49667.3,160000.0,25000.0,6717.0,166,163,3,5,9,5,180000.0,11000.0
방울토마토,2026-05-04,12325.0,12524.7,33000.0,4000.0,50145.0,487,480,7,14,23,5,36000.0,2500.0
블루베리,2026-05-04,32740.5,32833.3,60000.0,18000.0,24112.5,1664,1526,138,26,64,5,227700.0,2300.0
사과,2026-05-04,37846.2,39315.1,45000.0,18000.0,3110.0,15,13,2,3,3,1,85000.0,11000.0
산딸기,2026-05-04,27590.9,27742.9,48500.0,8000.0,4332.6,281,275,6,15,27,4,51000.0,6000.0
수박,2026-05-04,24793.8,25189.2,50000.0,6000.0,404613.5,1339,1303,36,17,25,17,55300.0,2000.0
쑥,2026-05-04,10849.1,10615.0,36000.0,2500.0,1286.8,86,81,5,18,30,4,50000.0,1600.0
아보카도,2026-05-04,20165.0,19730.8,28800.0,14000.0,3680.8,74,72,2,10,12,3,38400.0,13000.0
양파,2026-05-04,7951.2,8038.9,14500.0,2000.0,1301794.5,935,911,24,26,43,9,19320.0,300.0
오렌지,2026-05-04,71333.3,68800.0,84000.0,65000.0,75.0,3,3,0,1,1,1,84000.0,65000.0
오이,2026-05-04,20000.0,20111.1,21000.0,19000.0,450.0,2,2,0,1,1,1,21000.0,19000.0
참외,2026-05-04,39836.9,43217.2,64000.0,20000.0,191787.0,3412,3344,68,9,15,6,405500.0,1000.0
참외10kg,2026-05-04,39836.9,43217.2,64000.0,20000.0,191787.0,3412,3344,68,9,15,6,405500.0,1000.0
천혜향,2026-05-04,34896.0,40409.9,65000.0,10000.0,4372.0,52,50,2,3,3,1,66000.0,7000.0
취나물,2026-05-04,16938.3,16389.6,40000.0,7700.0,27470.0,491,481,10,27,50,6,57500.0,3000.0
카라향,2026-05-04,24289.8,26407.0,53000.0,7000.0,43933.0,301,293,8,19,31,5,616000.0,4000.0
키위,2026-05-04,43772.5,42322.6,49000.0,35000.0,20103.4,203,197,6,13,16,4,63000.0,6400.0
토마토,2026-05-04,10598.2,10929.4,28000.0,3000.0,445044.0,4856,4764,92,27,52,12,215200.0,1100.0
햇감자,2026-05-04,52027.8,58997.7,77000.0,15000.0,174230.0,258,255,3,7,9,3,77000.0,12500.0
