date,slot,source_type,source,rank,rank_range,product_name,note,product_group,sub_group,exclude_from_opportunity,search_ratio,shopping_ratio
2026-05-16,pm,rising,naver_top200,21,21-50,루테인,21~50_전량수집,health,영양제,Y,5.67041,40.9836
2026-05-16,pm,rising,naver_top200,22,21-50,창억떡,21~50_전량수집,dessert,떡,Y,51.44502,40.9836
2026-05-16,pm,rising,naver_top200,23,21-50,감자,21~50_전량수집,agri,뿌리채소,N,10.47984,38.25136
2026-05-16,pm,rising,naver_top200,24,21-50,매실,21~50_전량수집,agri,농산물 원물,N,10.34274,38.14207
2026-05-16,pm,rising,naver_top200,25,21-50,레몬즙,21~50_전량수집,processed,가공식품,N,8.4069,36.06557
2026-05-16,pm,rising,naver_top200,26,21-50,꽃게,21~50_전량수집,seafood,갑각류,N,56.80784,54.39469
2026-05-16,pm,rising,naver_top200,27,21-50,뉴케어구수한맛,21~50_전량수집,brand,브랜드/완제품,Y,39.50705,54.06301
2026-05-16,pm,rising,naver_top200,28,21-50,망고,21~50_전량수집,agri,농산물 원물,N,52.14166,53.23383
2026-05-16,pm,rising,naver_top200,29,21-50,스타벅스미니컵,21~50_전량수집,brand,브랜드/완제품,Y,17.32471,52.07296
2026-05-16,pm,rising,naver_top200,30,21-50,유산균,21~50_전량수집,health,유산균,Y,63.77123,50.41459
2026-05-16,pm,rising,naver_top200,31,21-50,임박,21~50_전량수집,unknown,임박상품,Y,4.68022,53.76344
2026-05-16,pm,rising,naver_top200,32,21-50,계란,21~50_전량수집,meat,계란,N,50.3798,53.2258
2026-05-16,pm,rising,naver_top200,33,21-50,비타민c,21~50_전량수집,health,영양제,Y,68.68414,52.86738
2026-05-16,pm,rising,naver_top200,34,21-50,뼈엔엠비피mbp,21~50_전량수집,health,단백질/근육,Y,38.59348,52.86738
2026-05-16,pm,rising,naver_top200,35,21-50,멸균우유,21~50_전량수집,processed,음료/차류,Y,19.82357,52.15053
2026-05-16,pm,rising,naver_top200,36,21-50,샤오커오라사탕,21~50_전량수집,brand,브랜드/완제품,Y,38.66075,58.64197
2026-05-16,pm,rising,naver_top200,37,21-50,콘드로이친1200,21~50_전량수집,health,건강식품,Y,23.43682,58.23045
2026-05-16,pm,rising,naver_top200,38,21-50,조선호텔김치,21~50_전량수집,processed,김치/절임,Y,24.6244,58.02469
2026-05-16,pm,rising,naver_top200,39,21-50,단백질쉐이크,21~50_전량수집,health,단백질/근육,Y,36.18543,57.61316
2026-05-16,pm,rising,naver_top200,40,21-50,포켓몬빵,21~50_전량수집,dessert,베이커리/디저트,Y,26.02661,57.61316
2026-05-16,pm,rising,naver_top200,41,21-50,두유,21~50_전량수집,processed,음료/차류,Y,34.38735,57.31958
2026-05-16,pm,rising,naver_top200,42,21-50,오렌지,21~50_전량수집,agri,과일,N,22.39789,57.31958
2026-05-16,pm,rising,naver_top200,43,21-50,그릭요거트,21~50_전량수집,dessert,간식/디저트,N,60.79051,56.49484
2026-05-16,pm,rising,naver_top200,44,21-50,알부민,21~50_전량수집,health,단백질/근육,Y,53.43873,56.49484
2026-05-16,pm,rising,naver_top200,45,21-50,완두콩,21~50_전량수집,grain,콩/잡곡,N,28.19499,55.6701
2026-05-16,pm,rising,naver_top200,46,21-50,초당옥수수,21~50_전량수집,agri,시즌농산물,N,81.19984,51.23339
2026-05-16,pm,rising,naver_top200,47,21-50,병아리콩,21~50_전량수집,grain,콩/잡곡,N,63.31677,50.66413
2026-05-16,pm,rising,naver_top200,48,21-50,맥심모카골드,21~50_전량수집,processed,가공식품,Y,61.67367,50.47438
2026-05-16,pm,rising,naver_top200,49,21-50,오이,21~50_전량수집,agri,과채류,N,72.18188,50.47438
2026-05-16,pm,rising,naver_top200,50,21-50,냉동블루베리,21~50_전량수집,processed,가공식품,N,36.11004,49.71537
2026-05-16,pm,rising,naver_top200,51,51-100,냉면,Top200_확장후보,processed,간편식/반찬,N,100.0,50.98039
2026-05-16,pm,rising,naver_top200,52,51-100,bnr17유산균,Top200_확장후보,health,유산균,Y,17.60813,50.78431
2026-05-16,pm,rising,naver_top200,53,51-100,구운계란,Top200_확장후보,processed,축산가공,N,9.70143,50.78431
2026-05-16,pm,rising,naver_top200,54,51-100,촉촉한황치즈칩,Top200_확장후보,brand,브랜드/완제품,Y,43.08163,50.58823
2026-05-16,pm,rising,naver_top200,55,51-100,아이스크림,Top200_확장후보,dessert,간식/디저트,Y,30.1712,50.39215
2026-05-16,pm,rising,naver_top200,56,51-100,밀크씨슬,Top200_확장후보,health,영양제,Y,70.96103,74.63126
2026-05-16,pm,rising,naver_top200,57,51-100,생수2l,Top200_확장후보,processed,음료/차류,Y,38.38961,74.33628
2026-05-16,pm,rising,naver_top200,58,51-100,포카리스웨트,Top200_확장후보,processed,가공식품,Y,86.85714,73.45132
2026-05-16,pm,rising,naver_top200,59,51-100,양배추즙,Top200_확장후보,processed,가공식품,N,38.28571,73.15634
2026-05-16,pm,rising,naver_top200,60,51-100,두리안,Top200_확장후보,agri,농산물 원물,N,64.67532,72.27138
2026-05-16,pm,rising,naver_top200,61,51-100,포스파티딜세린,Top200_확장후보,health,건강식품,Y,42.85196,67.40331
2026-05-16,pm,rising,naver_top200,62,51-100,냉면육수,Top200_확장후보,processed,간편식/반찬,N,14.894,67.12707
2026-05-16,pm,rising,naver_top200,63,51-100,애사비,Top200_확장후보,health,건강식품,Y,36.72766,65.46961
2026-05-16,pm,rising,naver_top200,64,51-100,리포좀글루타치온,Top200_확장후보,health,영양제,Y,39.39119,64.64088
2026-05-16,pm,rising,naver_top200,65,51-100,그린아세로라,Top200_확장후보,health,건강식품,Y,90.07066,64.36464
2026-05-16,pm,rising,naver_top200,66,51-100,비피더스유산균,Top200_확장후보,health,유산균,Y,5.80785,40.94903
2026-05-16,pm,rising,naver_top200,67,51-100,정관장에브리타임,Top200_확장후보,health,건강진액,Y,8.80014,40.94903
2026-05-16,pm,rising,naver_top200,68,51-100,파라다이스그레인,Top200_확장후보,health,건강식품,Y,19.73846,40.94903
2026-05-16,pm,rising,naver_top200,69,51-100,프로폴리스,Top200_확장후보,health,영양제,Y,7.56906,40.77328
2026-05-16,pm,rising,naver_top200,70,51-100,수향미10kg,Top200_확장후보,grain,쌀,N,4.62979,40.42179
2026-05-16,pm,rising,naver_top200,71,51-100,버터,Top200_확장후보,ingredient,유제품원료,N,33.74358,70.03058
2026-05-16,pm,rising,naver_top200,72,51-100,명가삼대떡집,Top200_확장후보,dessert,떡,Y,56.23931,69.41896
2026-05-16,pm,rising,naver_top200,73,51-100,두쫀쿠,Top200_확장후보,dessert,베이커리/디저트,N,84.71794,68.50152
2026-05-16,pm,rising,naver_top200,74,51-100,진미채,Top200_확장후보,seafood,건어물,N,22.63247,68.50152
2026-05-16,pm,rising,naver_top200,75,51-100,비에날17유산균,Top200_확장후보,health,유산균,Y,66.66666,68.19571
2026-05-16,pm,rising,naver_top200,76,51-100,이클립스,Top200_확장후보,brand,브랜드/완제품,Y,64.70985,57.8125
2026-05-16,pm,rising,naver_top200,77,51-100,견과류,Top200_확장후보,agri,견과류,N,42.64507,57.55208
2026-05-16,pm,rising,naver_top200,78,51-100,야채도사,Top200_확장후보,brand,브랜드/완제품,Y,46.8286,57.55208
2026-05-16,pm,rising,naver_top200,79,51-100,체리,Top200_확장후보,agri,과일,N,36.06612,57.55208
2026-05-16,pm,rising,naver_top200,80,51-100,하루견과,Top200_확장후보,brand,브랜드/완제품,Y,28.17139,57.55208
2026-05-16,pm,rising,naver_top200,81,51-100,카라향,Top200_확장후보,agri,과일,N,65.68265,49.77375
2026-05-16,pm,rising,naver_top200,82,51-100,코큐텐,Top200_확장후보,health,영양제,Y,47.80275,49.54751
2026-05-16,pm,rising,naver_top200,83,51-100,미숫가루,Top200_확장후보,processed,곡물가공/분말,N,28.34619,48.86877
2026-05-16,pm,rising,naver_top200,84,51-100,토마토,Top200_확장후보,agri,과채류,N,64.64273,48.64253
2026-05-16,pm,rising,naver_top200,85,51-100,고구마,Top200_확장후보,agri,뿌리채소,N,41.73096,48.41628
2026-05-16,pm,rising,naver_top200,86,51-100,열무김치,Top200_확장후보,processed,김치/절임,N,99.68007,54.4757
2026-05-16,pm,rising,naver_top200,87,51-100,마누카꿀,Top200_확장후보,ingredient,감미료/청,N,49.90859,54.21994
2026-05-16,pm,rising,naver_top200,88,51-100,cca주스,Top200_확장후보,processed,음료/차류,Y,14.67093,53.96419
2026-05-16,pm,rising,naver_top200,89,51-100,긴떡볶이,Top200_확장후보,processed,간편식/반찬,N,23.8117,53.19693
2026-05-16,pm,rising,naver_top200,90,51-100,아몬드,Top200_확장후보,agri,견과류,N,45.52102,53.19693
2026-05-16,pm,rising,naver_top200,91,51-100,서리맥스,Top200_확장후보,health,건강식품,Y,7.99841,54.21052
2026-05-16,pm,rising,naver_top200,92,51-100,꽃보다오징어,Top200_확장후보,seafood,건어물,N,15.46228,53.94736
2026-05-16,pm,rising,naver_top200,93,51-100,버터떡,Top200_확장후보,dessert,베이커리/디저트,N,54.74163,53.94736
2026-05-16,pm,rising,naver_top200,94,51-100,mbp,Top200_확장후보,health,단백질/근육,Y,7.56285,53.42105
2026-05-16,pm,rising,naver_top200,95,51-100,리포좀비타민c,Top200_확장후보,health,영양제,Y,36.21065,53.15789
2026-05-16,pm,rising,naver_top200,96,51-100,당근,Top200_확장후보,agri,뿌리채소,N,66.44295,55.83333
2026-05-16,pm,rising,naver_top200,97,51-100,멜라토닌,Top200_확장후보,health,건강식품,Y,33.94611,55.83333
2026-05-16,pm,rising,naver_top200,98,51-100,베르베린,Top200_확장후보,health,건강식품,Y,18.79194,55.27777
2026-05-16,pm,rising,naver_top200,99,51-100,멀티비타민,Top200_확장후보,health,영양제,Y,6.16671,55.0
2026-05-16,pm,rising,naver_top200,100,51-100,땅콩,Top200_확장후보,grain,콩/잡곡,N,6.47796,31.94444
2026-05-16,pm,rising,naver_top200,101,101-200,알파cd,Top200_확장후보,health,건강식품,Y,23.06535,37.59541
2026-05-16,pm,rising,naver_top200,102,101-200,구강유산균,Top200_확장후보,health,유산균,Y,15.61389,37.21374
2026-05-16,pm,rising,naver_top200,103,101-200,닭다리살,Top200_확장후보,meat,닭고기,N,10.19961,37.0229
2026-05-16,pm,rising,naver_top200,104,101-200,쑥떡,Top200_확장후보,dessert,떡,N,9.4613,36.83206
2026-05-16,pm,rising,naver_top200,105,101-200,궁채,Top200_확장후보,agri,농산물 원물,N,27.76866,36.64122
2026-05-16,pm,rising,naver_top200,106,101-200,비타민d,Top200_확장후보,health,영양제,Y,23.06002,36.92307
2026-05-16,pm,rising,naver_top200,107,101-200,산딸기,Top200_확장후보,agri,과일,N,12.24987,36.92307
2026-05-16,pm,rising,naver_top200,108,101-200,삼다수,Top200_확장후보,brand,브랜드/완제품,Y,14.26712,36.92307
2026-05-16,pm,rising,naver_top200,109,101-200,전복,Top200_확장후보,seafood,패류,N,8.87424,36.92307
2026-05-16,pm,rising,naver_top200,110,101-200,정관장,Top200_확장후보,health,건강진액,Y,31.75532,36.92307
2026-05-16,pm,rising,naver_top200,111,101-200,마른오징어,Top200_확장후보,seafood,건어물,N,15.08819,39.79166
2026-05-16,pm,rising,naver_top200,112,101-200,코엔자임q10,Top200_확장후보,health,건강식품,Y,24.78911,39.79166
