product_name,price_type,itemcategorycode,itemcode,kindcode,productrankcode,item_name,kind_name,rank_name,unit_name,itemname,kindname,countyname,marketname,yyyy,regday,price,full_regday,regday_dt,price_num
감자,retail,100,152,01,04,감자,수미(노지),상품,100g,감자,수미(노지)(100g),제주,동문,2026,05/08,-,2026-05-08,2026-05-08,
감자,retail,100,152,01,07,감자,수미(노지),유기농,,감자,수미(노지)(100g),제주,동문,2026,05/08,-,2026-05-08,2026-05-08,
감자,retail,100,152,04,04,감자,수미(시설),상품,100g,감자,수미(시설)(100g),제주,E-유통,2026,05/08,900,2026-05-08,2026-05-08,900.0
감자,retail,100,152,04,05,감자,수미(시설),중품,100g,감자,수미(시설)(100g),제주,E-유통,2026,05/06,532,2026-05-06,2026-05-06,532.0
감자,wholesale,100,152,01,04,감자,수미(노지),상품,20kg,감자,수미(노지)(20kg),광주,서부도매,2026,04/27,"61,600",2026-04-27,2026-04-27,61600.0
감자,wholesale,100,152,01,05,감자,수미(노지),중품,20kg,감자,수미(노지)(20kg),광주,서부도매,2026,04/27,"54,000",2026-04-27,2026-04-27,54000.0
감자,wholesale,100,152,01,07,감자,수미(노지),유기농,,감자,수미(노지)(20kg),광주,서부도매,2026,04/27,"61,600",2026-04-27,2026-04-27,61600.0
감자,wholesale,100,152,01,08,감자,수미(노지),무농약,,감자,수미(노지)(20kg),광주,서부도매,2026,04/27,"54,000",2026-04-27,2026-04-27,54000.0
감자,wholesale,100,152,04,04,감자,수미(시설),상품,20kg,감자,수미(시설)(20kg),대전,오정도매,2026,05/08,"73,000",2026-05-08,2026-05-08,73000.0
감자,wholesale,100,152,04,05,감자,수미(시설),중품,20kg,감자,수미(시설)(20kg),대전,오정도매,2026,05/08,"66,200",2026-05-08,2026-05-08,66200.0
고구마,retail,100,151,00,04,고구마,밤,상품,1kg,고구마,밤(1kg),제주,E-유통,2026,05/08,"4,490",2026-05-08,2026-05-08,4490.0
고구마,retail,100,151,00,05,고구마,밤,중품,1kg,고구마,밤(1kg),창원,상남,2026,05/08,"4,330",2026-05-08,2026-05-08,4330.0
고구마,retail,100,151,00,07,고구마,밤,유기농,,고구마,밤(1kg),제주,E-유통,2026,05/08,"4,490",2026-05-08,2026-05-08,4490.0
고구마,retail,100,151,00,08,고구마,밤,무농약,,고구마,밤(1kg),창원,상남,2026,05/08,"4,330",2026-05-08,2026-05-08,4330.0
고구마,wholesale,100,151,00,04,고구마,밤,상품,10kg,고구마,밤(10kg),대전,오정도매,2026,05/08,"41,400",2026-05-08,2026-05-08,41400.0
고구마,wholesale,100,151,00,05,고구마,밤,중품,10kg,고구마,밤(10kg),대전,오정도매,2026,05/08,"34,200",2026-05-08,2026-05-08,34200.0
고구마,wholesale,100,151,00,07,고구마,밤,유기농,,고구마,밤(10kg),대전,오정도매,2026,05/08,"41,400",2026-05-08,2026-05-08,41400.0
고구마,wholesale,100,151,00,08,고구마,밤,무농약,,고구마,밤(10kg),대전,오정도매,2026,05/08,"34,200",2026-05-08,2026-05-08,34200.0
고춧가루,retail,200,248,00,04,고춧가루,국산,상품,1kg,고춧가루,국산(1kg),제주,E-유통,2026,05/08,"36,900",2026-05-08,2026-05-08,36900.0
고춧가루,retail,200,248,01,04,고춧가루,중국,상품,1kg,고춧가루,중국(1kg),제주,동문,2026,05/08,"13,300",2026-05-08,2026-05-08,13300.0
꽃게,retail,600,656,02,05,꽃게,암꽃게(냉동),중품,,꽃게,암꽃게(냉동)(1kg),제주,E-유통,2026,05/08,"13,800",2026-05-08,2026-05-08,13800.0
당근,retail,200,232,01,04,당근,무세척,상품,1kg,당근,무세척(1kg),제주,E-유통,2026,05/08,"4,500",2026-05-08,2026-05-08,4500.0
당근,retail,200,232,01,05,당근,무세척,중품,1kg,당근,무세척(1kg),제주,E-유통,2026,05/06,"4,660",2026-05-06,2026-05-06,4660.0
당근,wholesale,200,232,01,04,당근,무세척,상품,20kg,당근,무세척(20kg),대전,오정도매,2026,05/08,"35,100",2026-05-08,2026-05-08,35100.0
당근,wholesale,200,232,01,05,당근,무세척,중품,20kg,당근,무세척(20kg),대전,오정도매,2026,05/08,"31,500",2026-05-08,2026-05-08,31500.0
당근,wholesale,200,232,10,05,당근,세척(수입),중품,10kg,당근,세척(수입)(10kg),대전,오정도매,2026,05/08,"9,330",2026-05-08,2026-05-08,9330.0
망고,retail,400,428,00,04,망고,수입,상품,1개,망고,수입(1개),제주,E-유통,2026,05/08,"4,990",2026-05-08,2026-05-08,4990.0
망고,wholesale,400,428,00,04,망고,수입,상품,5kg,망고,수입(5kg),대전,오정도매,2026,05/08,"44,500",2026-05-08,2026-05-08,44500.0
망고,wholesale,400,428,00,05,망고,수입,중품,5kg,망고,수입(5kg),대전,오정도매,2026,05/08,"42,300",2026-05-08,2026-05-08,42300.0
사과,retail,400,411,05,04,사과,후지,상품,10개,사과,후지(10개),제주,E-유통,2026,05/08,"21,900",2026-05-08,2026-05-08,21900.0
사과,retail,400,411,05,05,사과,후지,중품,10개,사과,후지(10개),제주,E-유통,2026,05/08,"18,300",2026-05-08,2026-05-08,18300.0
사과,retail,400,411,05,07,사과,후지,유기농,,사과,후지(10개),제주,E-유통,2026,05/08,"21,900",2026-05-08,2026-05-08,21900.0
