product_name,reason
쌀20kg,KAMIS 코드표 매칭 없음
매실,KAMIS 코드표 매칭 없음
쌀10kg,KAMIS 코드표 매칭 없음
닭가슴살,KAMIS 코드표 매칭 없음
탄산수,KAMIS 코드표 매칭 없음
오메가3,KAMIS 코드표 매칭 없음
창억떡,KAMIS 코드표 매칭 없음
마늘쫑,KAMIS 코드표 매칭 없음
마그네슘,KAMIS 코드표 매칭 없음
참외10kg,KAMIS 코드표 매칭 없음
생수,KAMIS 코드표 매칭 없음
올리브오일,KAMIS 코드표 매칭 없음
계란,KAMIS 코드표 매칭 없음
콜라겐,KAMIS 코드표 매칭 없음
카무트효소,KAMIS 코드표 매칭 없음
루테인,KAMIS 코드표 매칭 없음
완두콩,KAMIS 코드표 매칭 없음
미역귀,KAMIS 코드표 매칭 없음
레몬즙,KAMIS 코드표 매칭 없음
비타민c,KAMIS 코드표 매칭 없음
찹쌀누룽지과자,KAMIS 코드표 매칭 없음
냉동블루베리,KAMIS 코드표 매칭 없음
그릭요거트,KAMIS 코드표 매칭 없음
커큐민,KAMIS 코드표 매칭 없음
산딸기,KAMIS 코드표 매칭 없음
하루견과,KAMIS 코드표 매칭 없음
뉴케어,KAMIS 코드표 매칭 없음
콘드로이친,KAMIS 코드표 매칭 없음
병아리콩,KAMIS 코드표 매칭 없음
뉴케어구수한맛,KAMIS 코드표 매칭 없음
임박,KAMIS 코드표 매칭 없음
초당옥수수,KAMIS 코드표 매칭 없음
두유,KAMIS 코드표 매칭 없음
레드와인비니거,KAMIS 코드표 매칭 없음
멸균우유,KAMIS 코드표 매칭 없음
맥심모카골드,KAMIS 코드표 매칭 없음
구운계란,KAMIS 코드표 매칭 없음
야채도사,KAMIS 코드표 매칭 없음
유산균,KAMIS 코드표 매칭 없음
국내산순살참돔,KAMIS 코드표 매칭 없음
포켓몬빵,KAMIS 코드표 매칭 없음
김치,KAMIS 코드표 매칭 없음
조선호텔김치,KAMIS 코드표 매칭 없음
깐매실,KAMIS 코드표 매칭 없음
족구이,KAMIS 코드표 매칭 없음
쑥가루,KAMIS 코드표 매칭 없음
두리안,KAMIS 코드표 매칭 없음
수향미10kg,KAMIS 코드표 매칭 없음
단백질쉐이크,KAMIS 코드표 매칭 없음
콘드로이친1200,KAMIS 코드표 매칭 없음
그린아세로라,KAMIS 코드표 매칭 없음
냉면,KAMIS 코드표 매칭 없음
bnr17유산균,KAMIS 코드표 매칭 없음
닭다리살,KAMIS 코드표 매칭 없음
생수2l,KAMIS 코드표 매칭 없음
폴리코사놀,KAMIS 코드표 매칭 없음
햇반,KAMIS 코드표 매칭 없음
버터,KAMIS 코드표 매칭 없음
포카리스웨트,KAMIS 코드표 매칭 없음
멀티비타민,KAMIS 코드표 매칭 없음
참기름,KAMIS 코드표 매칭 없음
삼다수2l,KAMIS 코드표 매칭 없음
샤오커오라사탕,KAMIS 코드표 매칭 없음
삼다수,KAMIS 코드표 매칭 없음
비에날17유산균,KAMIS 코드표 매칭 없음
알파cd,KAMIS 코드표 매칭 없음
당근주스,KAMIS 코드표 매칭 없음
전투식량,KAMIS 코드표 매칭 없음
열무김치,KAMIS 코드표 매칭 없음
양배추즙,KAMIS 코드표 매칭 없음
오이지오이,KAMIS 코드표 매칭 없음
수향미,KAMIS 코드표 매칭 없음
옥수수,KAMIS 코드표 매칭 없음
들기름,KAMIS 코드표 매칭 없음
비타민d,KAMIS 코드표 매칭 없음
오디,KAMIS 코드표 매칭 없음
