product_name,period,search_ratio,search_keywords,shopping_ratio,shopping_keywords
cca주스,2026-04-29,10.1752,cca주스,96.49805,cca주스
cca주스,2026-04-30,8.40071,cca주스,76.26459,cca주스
cca주스,2026-05-01,8.80503,cca주스,81.32295,cca주스
cca주스,2026-05-02,9.25426,cca주스,84.8249,cca주스
cca주스,2026-05-03,9.11949,cca주스,89.88326,cca주스
cca주스,2026-05-04,9.59119,cca주스,67.70428,cca주스
cca주스,2026-05-05,11.8823,cca주스,71.98443,cca주스
cca주스,2026-05-06,11.59029,cca주스,79.37743,cca주스
cca주스,2026-05-07,10.55705,cca주스,75.09727,cca주스
cca주스,2026-05-08,8.80503,cca주스,82.10116,cca주스
cca주스,2026-05-09,7.56963,cca주스,54.4747,cca주스
cca주스,2026-05-10,9.7035,cca주스,80.15564,cca주스
cca주스,2026-05-11,9.2318,cca주스,63.42412,cca주스
cca주스,2026-05-12,9.4115,cca주스,74.70817,cca주스
la갈비,2026-04-29,20.52649,la갈비,80.42328,la갈비
la갈비,2026-04-30,18.87474,la갈비,40.21164,la갈비
la갈비,2026-05-01,18.10048,la갈비,24.86772,la갈비
la갈비,2026-05-02,17.72195,la갈비,43.65079,la갈비
la갈비,2026-05-03,21.05987,la갈비,47.08994,la갈비
la갈비,2026-05-04,21.92016,la갈비,57.4074,la갈비
la갈비,2026-05-05,23.29662,la갈비,73.54497,la갈비
la갈비,2026-05-06,23.14177,la갈비,84.12698,la갈비
la갈비,2026-05-07,22.90089,la갈비,73.01587,la갈비
la갈비,2026-05-08,20.8362,la갈비,42.85714,la갈비
la갈비,2026-05-09,19.68341,la갈비,43.12169,la갈비
la갈비,2026-05-10,19.97591,la갈비,60.84656,la갈비
la갈비,2026-05-11,21.49002,la갈비,79.10052,la갈비
la갈비,2026-05-12,19.73503,la갈비,78.83597,la갈비
갈비탕,2026-04-29,56.06021,갈비탕,59.45945,갈비탕
갈비탕,2026-04-30,53.10028,갈비탕,52.50965,갈비탕
갈비탕,2026-05-01,73.66675,갈비탕,42.47104,갈비탕
갈비탕,2026-05-02,74.9681,갈비탕,42.08494,갈비탕
갈비탕,2026-05-03,100.0,갈비탕,67.95366,갈비탕
갈비탕,2026-05-04,73.00331,갈비탕,77.60617,갈비탕
갈비탕,2026-05-05,78.69354,갈비탕,71.81467,갈비탕
갈비탕,2026-05-06,55.70298,갈비탕,100.0,갈비탕
갈비탕,2026-05-07,61.67389,갈비탕,77.22007,갈비탕
갈비탕,2026-05-08,65.57795,갈비탕,73.35907,갈비탕
갈비탕,2026-05-09,72.62056,갈비탕,49.42084,갈비탕
갈비탕,2026-05-10,81.57693,갈비탕,63.32046,갈비탕
갈비탕,2026-05-11,56.08573,갈비탕,87.64478,갈비탕
갈비탕,2026-05-12,57.05537,갈비탕,76.06177,갈비탕
감자,2026-04-29,32.84165,감자,71.36294,감자
감자,2026-04-30,28.25661,감자,57.58039,감자
