date,rank,product_name,slot,search_ratio,shopping_ratio
2026-05-03,1,오메가3,pm,33.4812,49.41792
2026-05-03,2,쌀20kg,pm,9.82658,48.48661
2026-05-03,3,어버이날선물,pm,100.0,44.81955
2026-05-03,4,쌀10kg,pm,10.20746,44.58672
2026-05-03,5,닭가슴살,pm,24.43876,44.35389
2026-05-03,6,창억떡,pm,94.87019,58.02568
2026-05-03,7,마늘쫑,pm,12.97018,53.45104
2026-05-03,8,콘드로이친,pm,29.27527,52.4077
2026-05-03,9,콜라겐,pm,10.69143,50.32102
2026-05-03,10,참외,pm,14.9628,45.10433
2026-05-03,11,올리브오일,pm,12.11328,48.34558
2026-05-03,12,파라다이스그레인,pm,54.1462,47.79411
2026-05-03,13,마그네슘,pm,9.65108,46.96691
2026-05-03,14,뉴케어,pm,11.56471,45.22058
2026-05-03,15,촉촉한황치즈칩,pm,26.63137,43.56617
2026-05-03,16,비타민c,pm,53.20557,43.98058
2026-05-03,17,알부민,pm,42.21502,43.39805
2026-05-03,18,루테인,pm,19.10666,42.33009
2026-05-03,19,한일식품,pm,43.91996,42.03883
2026-05-03,20,생수,pm,29.71678,41.74757
