date,rank,product_name,Unnamed: 3,Unnamed: 4,slot,search_ratio,shopping_ratio
2026-05-16,1,쌀20kg,,,pm,18.79178,75.07109
2026-05-16,2,쌀10kg,,,pm,20.58261,58.76777
2026-05-16,3,참외,,,pm,34.14517,54.78672
2026-05-16,4,오메가3,,,pm,63.64613,52.98578
2026-05-16,5,닭가슴살,,,pm,48.94937,50.99526
2026-05-16,6,마늘쫑,,,pm,57.54433,59.12322
2026-05-16,7,참외10kg,,,pm,17.87175,57.58293
2026-05-16,8,탄산수,,,pm,53.86084,55.80568
2026-05-16,9,콜라겐,,,pm,44.50204,55.21327
2026-05-16,10,마그네슘,,,pm,73.26057,54.02843
2026-05-16,11,생수,,,pm,35.22303,66.41452
2026-05-16,12,콘드로이친,,,pm,52.87009,65.65809
2026-05-16,13,수박,,,pm,49.47574,63.99394
2026-05-16,14,올리브오일,,,pm,55.71352,62.78366
2026-05-16,15,케라넷,,,pm,98.93371,61.2708
2026-05-16,16,카무트효소,,,pm,100.0,65.40362
2026-05-16,17,사과,,,pm,37.6776,65.07413
2026-05-16,18,블루베리,,,pm,58.67391,64.25041
2026-05-16,19,찹쌀누룽지과자,,,pm,21.80319,63.59143
2026-05-16,20,뉴케어,,,pm,53.63971,62.43822
