product_name,auction_date,variety_name,unit_name,weighted_avg_auction_price,high_price,low_price,total_trade_qty,row_count,valid_row_count,outlier_count,market_count,raw_high_price,raw_low_price
감자,2026-06-09,햇감자,kg,18541.5,33000.0,5000.0,179325.0,233,224,9,1,37000.0,1000.0
감자,2026-06-09,감자,kg,19613.3,35000.0,3300.0,141500.0,344,333,11,5,37300.0,1000.0
감자,2026-06-09,감자(일반),kg,15120.0,32100.0,3000.0,41470.0,124,122,2,4,33000.0,3000.0
개복숭아,2026-06-09,개복숭아,kg,14856.8,25000.0,6000.0,2849.0,26,23,3,8,26000.0,1200.0
개복숭아,2026-06-09,개복숭아(복숭아),kg,9077.3,10000.0,8000.0,550.0,3,3,0,1,10000.0,8000.0
고구마,2026-06-09,고구마,kg,19121.3,34000.0,5000.0,31470.0,122,118,4,1,35000.0,2000.0
냉동블루베리,2026-06-09,블루베리,kg,27930.1,49000.0,9000.0,27117.3,1922,1860,62,31,73000.0,1750.0
냉동블루베리,2026-06-09,블루베리(일반),kg,14557.4,36000.0,2600.0,2250.3,177,149,28,7,38000.0,1000.0
냉동블루베리,2026-06-09,블루베리(국산),kg,30529.1,42600.0,18000.0,1201.0,98,96,2,4,44000.0,8500.0
냉동블루베리,2026-06-09,포도(블루베리),kg,31758.8,40000.0,18000.0,597.0,31,30,1,1,40000.0,6000.0
냉동블루베리,2026-06-09,국산블루베리,kg,29006.3,42200.0,18100.0,504.0,51,50,1,1,43000.0,18100.0
냉동블루베리,2026-06-09,블루베리(기타),kg,15483.8,18500.0,13600.0,89.5,5,5,0,1,18500.0,13600.0
당근,2026-06-09,당근,kg,22192.3,29000.0,7560.0,132610.0,79,77,2,4,50000.0,6500.0
당근,2026-06-09,당근(일반),kg,20195.8,27100.0,6500.0,29200.0,41,38,3,4,27100.0,3000.0
당근,2026-06-09,당근(흙당근),kg,25050.1,29000.0,11000.0,13680.0,26,24,2,2,29200.0,10500.0
당근,2026-06-09,흙당근,kg,27750.0,28000.0,27500.0,4000.0,4,4,0,1,28000.0,27500.0
딸기,2026-06-09,딸기(일반),kg,15000.0,15000.0,15000.0,8.0,2,2,0,1,15000.0,15000.0
마늘,2026-06-09,마늘(수입),kg,1950.0,1950.0,1950.0,40.0,1,1,0,1,1950.0,1950.0
마늘쫑,2026-06-09,마늘쫑,kg,14137.7,22050.0,12000.0,348.6,17,10,7,5,23300.0,1200.0
마늘쫑,2026-06-09,마늘쫑(기타),kg,20000.0,20000.0,20000.0,240.0,4,4,0,2,20000.0,20000.0
망고,2026-06-09,망고(수입),kg,40622.4,53000.0,29000.0,3067.0,74,73,1,10,53000.0,25500.0
망고,2026-06-09,망고(일반),kg,34870.0,60000.0,8000.0,2385.0,48,48,0,2,60000.0,8000.0
망고,2026-06-09,망고,kg,45168.5,100000.0,33000.0,1923.0,56,54,2,4,110000.0,23300.0
망고,2026-06-09,망고(국산),kg,62688.7,95000.0,40000.0,559.0,37,36,1,1,120000.0,40000.0
망고,2026-06-09,애플망고,kg,26817.3,27500.0,26000.0,392.0,4,4,0,1,27500.0,26000.0
망고,2026-06-09,무지개망고,kg,25808.5,33000.0,17500.0,235.0,6,6,0,1,33000.0,17500.0
망고,2026-06-09,망고스틴(망고),kg,60000.0,60000.0,60000.0,150.0,21,21,0,1,60000.0,60000.0
망고,2026-06-09,망고(애플),kg,60900.0,60900.0,60900.0,25.0,1,1,0,1,60900.0,60900.0
매실,2026-06-09,매실(일반),kg,20142.5,45000.0,3300.0,116157.0,1501,1164,337,27,185000.0,0.0
매실,2026-06-09,매실,kg,21223.6,50000.0,5000.0,112694.5,1087,987,100,17,60000.0,700.0
매실,2026-06-09,청매실,kg,17824.3,48000.0,5000.0,11655.0,131,127,4,1,52500.0,4000.0
매실,2026-06-09,매실(표준),kg,2843.1,4600.0,1000.0,5885.6,77,77,0,1,4600.0,1000.0
매실,2026-06-09,매실(채소),kg,27290.4,47000.0,6000.0,3451.0,46,45,1,1,47000.0,5000.0
매실,2026-06-09,매실(국산),kg,11736.4,19000.0,6500.0,1660.0,37,36,1,1,19000.0,6000.0
매실,2026-06-09,매실(남고),kg,17303.0,23000.0,9000.0,165.0,5,5,0,1,23000.0,9000.0
매실10kg,2026-06-09,매실(일반),kg,20142.5,45000.0,3300.0,116157.0,1501,1164,337,27,185000.0,0.0
매실10kg,2026-06-09,매실,kg,21223.6,50000.0,5000.0,112694.5,1087,987,100,17,60000.0,700.0
매실10kg,2026-06-09,청매실,kg,17824.3,48000.0,5000.0,11655.0,131,127,4,1,52500.0,4000.0
매실10kg,2026-06-09,매실(표준),kg,2843.1,4600.0,1000.0,5885.6,77,77,0,1,4600.0,1000.0
매실10kg,2026-06-09,매실(채소),kg,27290.4,47000.0,6000.0,3451.0,46,45,1,1,47000.0,5000.0
매실10kg,2026-06-09,매실(국산),kg,11736.4,19000.0,6500.0,1660.0,37,36,1,1,19000.0,6000.0
매실10kg,2026-06-09,매실(남고),kg,17303.0,23000.0,9000.0,165.0,5,5,0,1,23000.0,9000.0
멜론,2026-06-09,메론,kg,22561.1,41200.0,17100.0,3939.0,32,30,2,4,42000.0,11000.0
멜론,2026-06-09,양구(메론),kg,28906.2,32000.0,15000.0,256.0,5,5,0,1,32000.0,15000.0
방울토마토,2026-06-09,방울토마토,kg,6668.6,16000.0,2000.0,38428.0,337,321,16,7,68000.0,800.0
방울토마토,2026-06-09,대추흑색,kg,6235.2,7100.0,2000.0,1586.0,17,17,0,1,7100.0,2000.0
방울토마토,2026-06-09,대추토마토,kg,13195.2,18000.0,7500.0,1565.0,19,17,2,1,20000.0,7000.0
방울토마토,2026-06-09,토마토(방울),kg,6000.0,6000.0,6000.0,120.0,2,2,0,1,6000.0,6000.0
복분자,2026-06-09,복분자(일반),kg,24000.0,24000.0,24000.0,12.0,1,1,0,1,24000.0,24000.0
복숭아,2026-06-09,복숭아,kg,19598.8,43860.0,3000.0,2504.5,72,71,1,7,43990.0,3000.0
복숭아,2026-06-09,신선,kg,18599.0,30000.0,6000.0,1242.0,36,34,2,1,33000.0,5000.0
복숭아,2026-06-09,복숭아기타,kg,7000.0,12000.0,2500.0,52.0,7,7,0,1,12000.0,2500.0
블루베리,2026-06-09,블루베리,kg,27930.1,49000.0,9000.0,27117.3,1922,1860,62,31,73000.0,1750.0
블루베리,2026-06-09,블루베리(일반),kg,14557.4,36000.0,2600.0,2250.3,177,149,28,7,38000.0,1000.0
블루베리,2026-06-09,블루베리(국산),kg,30529.1,42600.0,18000.0,1201.0,98,96,2,4,44000.0,8500.0
블루베리,2026-06-09,포도(블루베리),kg,31758.8,40000.0,18000.0,597.0,31,30,1,1,40000.0,6000.0
블루베리,2026-06-09,국산블루베리,kg,29006.3,42200.0,18100.0,504.0,51,50,1,1,43000.0,18100.0
블루베리,2026-06-09,블루베리(기타),kg,15483.8,18500.0,13600.0,89.5,5,5,0,1,18500.0,13600.0
사과,2026-06-09,사과,kg,34958.7,91800.0,18000.0,1450.0,9,9,0,2,91800.0,18000.0
산딸기,2026-06-09,산딸기,kg,7342.0,13300.0,2400.0,13777.6,744,726,18,26,38000.0,1000.0
산딸기,2026-06-09,흑산딸기,kg,8891.2,14600.0,4600.0,2051.0,99,97,2,2,15000.0,4000.0
산딸기,2026-06-09,산딸기(딸기),kg,6335.9,7600.0,4500.0,765.5,39,38,1,1,7800.0,4500.0
산딸기,2026-06-09,딸기(산딸기),kg,11575.8,12000.0,10000.0,247.5,7,7,0,1,12000.0,10000.0
산딸기,2026-06-09,산딸기(국산),kg,8675.3,9500.0,8000.0,192.5,11,11,0,1,9500.0,8000.0
살구,2026-06-09,살구(일반),kg,22698.7,41500.0,4500.0,8147.0,281,268,13,18,45200.0,2000.0
살구,2026-06-09,살구,kg,27107.3,72000.0,6000.0,5396.5,186,176,10,16,90000.0,1800.0
살구,2026-06-09,하코드,kg,33017.7,50000.0,9000.0,2199.0,81,78,3,8,57000.0,4000.0
살구,2026-06-09,살구 살구(일반),kg,21710.1,35000.0,7000.0,840.0,16,15,1,1,35000.0,5000.0
살구,2026-06-09,학코드(핫코드),kg,26471.1,48000.0,18000.0,726.0,19,18,1,1,52500.0,18000.0
살구,2026-06-09,살구[하코드],kg,28647.8,37300.0,15600.0,519.0,10,8,2,1,38700.0,12800.0
살구,2026-06-09,살구(표준),kg,27184.0,33500.0,14600.0,125.0,5,5,0,1,33500.0,14600.0
살구,2026-06-09,살구(학코드),kg,37721.4,44300.0,18900.0,98.0,6,6,0,1,44300.0,18900.0
살구,2026-06-09,살구(살구),kg,20142.9,22000.0,16000.0,70.0,3,3,0,1,22000.0,16000.0
살구,2026-06-09,살구(동행),kg,28600.0,31000.0,26600.0,55.0,2,2,0,1,31000.0,26600.0
살구,2026-06-09,학코드,kg,27000.0,32000.0,25000.0,22.5,4,4,0,1,32000.0,25000.0
수박,2026-06-09,수박,kg,13036.7,24500.0,3600.0,219324.0,611,590,21,7,47250.0,500.0
수박,2026-06-09,수박(일반꼭지절단),kg,12644.0,19000.0,5000.0,101465.0,264,262,2,1,19500.0,5000.0
수박,2026-06-09,수박(일반),kg,11931.6,20000.0,3000.0,74216.0,204,200,4,5,20000.0,1000.0
수박,2026-06-09,수박(BOX),kg,20764.3,35000.0,7000.0,70585.0,190,188,2,1,35000.0,5000.0
수박,2026-06-09,수박(박스),kg,19240.3,29000.0,7000.0,49407.0,91,90,1,1,29000.0,5000.0
수박,2026-06-09,수박(BOX꼭지절단),kg,24045.7,40000.0,14000.0,46977.0,82,81,1,1,40000.0,11000.0
수박,2026-06-09,포장수박,kg,20902.8,35000.0,4000.0,28785.5,85,83,2,5,35000.0,2000.0
수박,2026-06-09,수박(꼭지),kg,13445.5,17700.0,8500.0,20367.0,47,45,2,1,135000.0,8000.0
수박,2026-06-09,수박(짧은꼭지),kg,11529.5,16000.0,5000.0,16518.0,37,34,3,1,16500.0,2000.0
수박,2026-06-09,수박(꼭지 제거),kg,10107.3,14000.0,2800.0,14862.0,45,42,3,1,15000.0,2000.0
수박,2026-06-09,수박(꼭지절단),kg,12537.4,17200.0,3500.0,13134.0,42,40,2,2,19000.0,3000.0
수박,2026-06-09,수박(수박),kg,10572.7,16200.0,5000.0,11155.0,34,26,8,1,16200.0,3000.0
수박,2026-06-09,수박(일반)(꼭지절단),kg,16543.3,21500.0,6500.0,9560.0,36,34,2,1,22000.0,4500.0
수박,2026-06-09,수박(박스1),kg,19536.1,23000.0,16000.0,7021.0,16,14,2,1,29000.0,14500.0
