product_name,period,search_ratio,search_keywords,shopping_ratio,shopping_keywords
la갈비,2025-08-01,6.32911,la갈비,7.112,la갈비
la갈비,2025-08-02,6.33749,la갈비,5.84509,la갈비
la갈비,2025-08-03,6.46324,la갈비,7.02562,la갈비
la갈비,2025-08-04,7.28895,la갈비,9.04117,la갈비
la갈비,2025-08-05,6.90753,la갈비,8.81082,la갈비
la갈비,2025-08-06,7.09196,la갈비,9.18514,la갈비
la갈비,2025-08-07,6.99136,la갈비,9.04117,la갈비
la갈비,2025-08-08,6.56802,la갈비,7.22718,la갈비
la갈비,2025-08-09,6.63928,la갈비,6.6801,la갈비
la갈비,2025-08-10,6.91591,la갈비,6.70889,la갈비
la갈비,2025-08-11,7.71648,la갈비,11.89173,la갈비
la갈비,2025-08-12,7.38536,la갈비,9.55945,la갈비
la갈비,2025-08-13,7.96378,la갈비,9.87618,la갈비
la갈비,2025-08-14,6.88238,la갈비,7.74546,la갈비
la갈비,2025-08-15,7.22189,la갈비,6.44975,la갈비
la갈비,2025-08-16,7.12968,la갈비,7.86063,la갈비
la갈비,2025-08-17,7.03328,la갈비,7.45752,la갈비
la갈비,2025-08-18,7.74163,la갈비,10.13532,la갈비
la갈비,2025-08-19,8.05599,la갈비,10.07774,la갈비
la갈비,2025-08-20,7.99312,la갈비,13.53296,la갈비
la갈비,2025-08-21,7.87576,la갈비,8.926,la갈비
la갈비,2025-08-22,8.0015,la갈비,10.33688,la갈비
la갈비,2025-08-23,7.27219,la갈비,8.06219,la갈비
la갈비,2025-08-24,6.99555,la갈비,8.29254,la갈비
la갈비,2025-08-25,7.85899,la갈비,11.66138,la갈비
la갈비,2025-08-26,8.06857,la갈비,12.00691,la갈비
la갈비,2025-08-27,9.15835,la갈비,13.93607,la갈비
la갈비,2025-08-28,9.24218,la갈비,13.8209,la갈비
la갈비,2025-08-29,8.96973,la갈비,12.72674,la갈비
la갈비,2025-08-30,8.10629,la갈비,9.64583,la갈비
la갈비,2025-08-31,12.02112,la갈비,15.72127,la갈비
la갈비,2025-09-01,13.77315,la갈비,21.19205,la갈비
la갈비,2025-09-02,14.34738,la갈비,24.5321,la갈비
la갈비,2025-09-03,15.44136,la갈비,19.78116,la갈비
la갈비,2025-09-04,15.52938,la갈비,22.48776,la갈비
la갈비,2025-09-05,14.62821,la갈비,18.60063,la갈비
la갈비,2025-09-06,13.71866,la갈비,17.70803,la갈비
la갈비,2025-09-07,15.35334,la갈비,21.76792,la갈비
la갈비,2025-09-08,18.08617,la갈비,26.46127,la갈비
la갈비,2025-09-09,20.60105,la갈비,27.78577,la갈비
la갈비,2025-09-10,20.15676,la갈비,25.28073,la갈비
la갈비,2025-09-11,20.88188,la갈비,24.24416,la갈비
la갈비,2025-09-12,21.82496,la갈비,25.25194,la갈비
la갈비,2025-09-13,21.50222,la갈비,27.81456,la갈비
la갈비,2025-09-14,21.72436,la갈비,27.26749,la갈비
la갈비,2025-09-15,30.37555,la갈비,38.06507,la갈비
la갈비,2025-09-16,36.52862,la갈비,43.10394,la갈비
la갈비,2025-09-17,36.6376,la갈비,43.7086,la갈비
la갈비,2025-09-18,36.931,la갈비,42.12496,la갈비
la갈비,2025-09-19,37.92438,la갈비,40.94442,la갈비
la갈비,2025-09-20,36.30228,la갈비,35.15692,la갈비
la갈비,2025-09-21,41.94819,la갈비,42.15375,la갈비
la갈비,2025-09-22,52.53164,la갈비,52.11632,la갈비
la갈비,2025-09-23,54.58546,la갈비,55.7731,la갈비
la갈비,2025-09-24,59.48528,la갈비,59.57385,la갈비
la갈비,2025-09-25,61.76125,la갈비,57.09761,la갈비
la갈비,2025-09-26,56.54287,la갈비,51.85718,la갈비
la갈비,2025-09-27,54.20404,la갈비,49.40973,la갈비
la갈비,2025-09-28,61.50557,la갈비,59.8042,la갈비
la갈비,2025-09-29,74.33565,la갈비,62.71235,la갈비
la갈비,2025-09-30,66.02397,la갈비,57.21278,la갈비
la갈비,2025-10-01,59.3302,la갈비,44.28448,la갈비
la갈비,2025-10-02,54.1747,la갈비,28.36164,la갈비
la갈비,2025-10-03,64.03722,la갈비,20.90411,la갈비
la갈비,2025-10-04,59.24637,la갈비,16.70025,la갈비
la갈비,2025-10-05,50.44429,la갈비,14.45436,la갈비
la갈비,2025-10-06,36.47413,la갈비,12.55398,la갈비
la갈비,2025-10-07,24.79252,la갈비,11.86294,la갈비
la갈비,2025-10-08,18.62687,la갈비,11.69018,la갈비
la갈비,2025-10-09,16.75329,la갈비,11.83414,la갈비
la갈비,2025-10-10,14.81683,la갈비,11.08551,la갈비
la갈비,2025-10-11,12.55763,la갈비,9.09876,la갈비
la갈비,2025-10-12,11.87023,la갈비,9.99136,la갈비
la갈비,2025-10-13,10.78883,la갈비,11.77656,la갈비
la갈비,2025-10-14,9.35116,la갈비,10.39447,la갈비
la갈비,2025-10-15,8.44161,la갈비,8.78203,la갈비
la갈비,2025-10-16,7.99312,la갈비,8.0334,la갈비
