date,slot,rank,rank_range,product_name,source,note,is_active,product_group,sub_group,original_product_group,exclude_from_opportunity
2026-04-23,pm,21,21-50,엄나무순,naver_top200,21~50_전량수집,Y,agri,뿌리채소,농산물,N
2026-04-23,pm,22,21-50,감자,naver_top200,21~50_전량수집,Y,agri,뿌리채소,농산물,N
2026-04-23,pm,23,21-50,콘드로이친,naver_top200,건강식품,Y,health,건강식품,건강식품,Y
2026-04-23,pm,24,21-50,임박,naver_top200,유통기한_임박_할인상품,Y,unknown,임박상품,임박상품,Y
2026-04-23,pm,25,21-50,뉴케어구수한맛,naver_top200,브랜드상품,Y,brand,브랜드/완제품,브랜드_완제품,Y
2026-04-23,pm,26,21-50,맥심모카골드,naver_top200,브랜드상품,Y,processed,가공식품,브랜드_완제품,Y
2026-04-23,pm,27,21-50,고구마,naver_top200,21~50_전량수집,Y,agri,뿌리채소,농산물,N
2026-04-23,pm,28,21-50,구운계란,naver_top200,축산_가공식품,Y,processed,축산가공,가공식품,N
2026-04-23,pm,29,21-50,뉴케어,naver_top200,브랜드상품,Y,brand,브랜드/완제품,브랜드_완제품,Y
2026-04-23,pm,30,21-50,알파cd,naver_top200,건강식품,Y,health,건강식품,건강식품,Y
2026-04-23,pm,31,21-50,두유,naver_top200,브랜드상품,Y,processed,음료/차류,브랜드_완제품,Y
2026-04-23,pm,32,21-50,오렌지,naver_top200,21~50_전량수집,Y,agri,과일,농산물,N
2026-04-23,pm,33,21-50,명이나물,naver_top200,21~50_전량수집,Y,agri,엽채/나물,농산물,N
2026-04-23,pm,34,21-50,찹쌀누룽지과자,naver_top200,브랜드상품,Y,dessert,과자/간식,브랜드_완제품,Y
2026-04-23,pm,35,21-50,레몬즙,naver_top200,레몬_가공식품,Y,processed,가공식품,가공식품,N
2026-04-23,pm,36,21-50,탄산수,naver_top200,브랜드상품,Y,processed,음료/차류,브랜드_완제품,Y
2026-04-23,pm,37,21-50,수박,naver_top200,21~50_전량수집,Y,agri,과일,농산물,N
2026-04-23,pm,38,21-50,명가삼대떡집,naver_top200,브랜드상품,Y,dessert,떡,브랜드_완제품,Y
2026-04-23,pm,39,21-50,버터떡,naver_top200,디저트/떡,Y,dessert,베이커리/디저트,가공식품,N
2026-04-23,pm,40,21-50,그릭요거트,naver_top200,유제품_고단백_간식,Y,dessert,간식/디저트,가공식품,N
2026-04-23,pm,41,21-50,암꽃게,naver_top200,21~50_전량수집,Y,seafood,갑각류,수산물,N
2026-04-23,pm,42,21-50,루테인,naver_top200,건강식품,Y,health,영양제,건강식품,Y
2026-04-23,pm,43,21-50,블루베리,naver_top200,21~50_전량수집,Y,agri,과일,농산물,N
2026-04-23,pm,44,21-50,카네이션쿠키,naver_top200,디저트/떡,Y,gift,기념일,가공식품,N
2026-04-23,pm,45,21-50,샤오커오라사탕,naver_top200,브랜드상품,Y,brand,브랜드/완제품,브랜드_완제품,Y
2026-04-23,pm,46,21-50,수향미10kg,naver_top200,21~50_전량수집,Y,grain,쌀,농산물,N
2026-04-23,pm,47,21-50,새조개,naver_top200,21~50_전량수집,Y,seafood,패류,수산물,N
2026-04-23,pm,48,21-50,카라향,naver_top200,21~50_전량수집,Y,agri,과일,농산물,N
