date,rank,product_name,search_ratio,search_keywords,shopping_ratio,shopping_keywords
2025-08-01,1,쌀20kg,8.83842,쌀20kg,52.06638,쌀20kg
2025-08-01,2,복숭아,22.28939,복숭아,41.23006,복숭아
2025-08-01,3,닭가슴살,17.74129,닭가슴살,41.19752,닭가슴살
2025-08-01,4,알파cd,36.75924,알파cd,36.05597,알파cd
2025-08-01,5,알부민,26.00276,알부민,35.50276,알부민
2025-08-01,6,수박,45.73223,수박,39.58412,수박
2025-08-01,7,쌀10kg,19.39425,쌀10kg,37.42911,쌀10kg
2025-08-01,8,오메가3,52.762,오메가3,36.78638,오메가3
2025-08-01,9,옥수수,33.97005,옥수수,36.03024,옥수수
2025-08-01,10,사과,38.47014,사과,33.6862,사과
2025-08-01,11,생수,19.87668,생수,76.96526,생수
2025-08-01,12,유산균,25.93875,유산균,74.68007,유산균
2025-08-01,13,레몬즙,21.82347,레몬즙,70.56672,레몬즙
2025-08-01,14,올리브오일,34.61271,올리브오일,65.5393,올리브오일
2025-08-01,15,토마토,22.29458,토마토,63.71115,토마토
2025-08-01,16,참외,8.36677,참외,70.51961,참외
2025-08-01,17,자두,16.97755,자두,69.98939,자두
2025-08-01,18,마그네슘,19.44474,마그네슘,69.14103,마그네슘
2025-08-01,19,두유,8.86021,두유,67.02014,두유
2025-08-01,20,멜라토닌,44.56674,멜라토닌,65.11134,멜라토닌
2025-08-02,1,쌀20kg,8.31364,쌀20kg,44.28896,쌀20kg
2025-08-02,2,복숭아,20.38668,복숭아,38.49658,복숭아
2025-08-02,3,닭가슴살,15.17569,닭가슴살,37.78067,닭가슴살
2025-08-02,4,알파cd,49.57495,알파cd,35.76309,알파cd
2025-08-02,5,옥수수,33.01497,옥수수,37.69376,옥수수
2025-08-02,6,쌀10kg,19.05868,쌀10kg,33.724,쌀10kg
2025-08-02,7,수박,40.87936,수박,33.64839,수박
2025-08-02,8,오메가3,48.12424,오메가3,32.02268,오메가3
2025-08-02,9,알부민,13.87448,알부민,26.97689,알부민
2025-08-02,10,레몬즙,23.07745,레몬즙,73.49177,레몬즙
2025-08-02,11,토마토,20.28543,토마토,66.7276,토마토
2025-08-02,12,생수,16.39185,생수,65.72212,생수
2025-08-02,13,콜라겐,34.67997,콜라겐,60.16483,콜라겐
2025-08-02,14,유산균,24.55313,유산균,59.04936,유산균
2025-08-02,15,사과,31.31991,사과,23.55387,사과
2025-08-02,16,멜라토닌,36.61208,멜라토닌,63.20254,멜라토닌
2025-08-02,17,올리브오일,29.07025,올리브오일,53.93053,올리브오일
2025-08-02,18,두유,8.02515,두유,61.82396,두유
2025-08-02,19,참외,9.04457,참외,60.86956,참외
2025-08-02,20,무화과,36.81738,무화과,51.00732,무화과
2025-08-03,1,쌀20kg,9.54426,쌀20kg,53.92124,쌀20kg
2025-08-03,2,복숭아,21.92726,복숭아,47.57565,복숭아
2025-08-03,3,닭가슴살,20.1964,닭가슴살,41.94598,닭가슴살
2025-08-03,4,수박,41.51609,수박,42.30623,수박
2025-08-03,5,옥수수,37.18809,옥수수,41.0586,옥수수
2025-08-03,6,쌀10kg,22.4574,쌀10kg,39.5085,쌀10kg
2025-08-03,7,오메가3,50.65393,오메가3,36.03024,오메가3
2025-08-03,8,사과,34.17656,사과,33.91304,사과
2025-08-03,9,레몬즙,21.35236,레몬즙,79.61608,레몬즙
2025-08-03,10,알부민,14.73991,알부민,28.31109,알부민
2025-08-03,11,토마토,24.75405,토마토,78.79341,토마토
2025-08-03,12,알파cd,22.60856,알파cd,27.56264,알파cd
2025-08-03,13,생수,17.72897,생수,74.77148,생수
2025-08-03,14,유산균,27.17195,유산균,67.27605,유산균
2025-08-03,15,두유,9.294,두유,75.7158,두유
2025-08-03,16,자두,13.81628,자두,71.79215,자두
2025-08-03,17,올리브오일,43.12733,올리브오일,61.60877,올리브오일
2025-08-03,18,참외,9.1747,참외,69.67126,참외
2025-08-03,19,견과류,17.63945,견과류,59.24908,견과류
2025-08-03,20,콘드로이친,57.79213,콘드로이친,56.9597,콘드로이친
2025-08-04,1,쌀20kg,11.36412,쌀20kg,58.05401,쌀20kg
2025-08-04,2,닭가슴살,100.0,닭가슴살,46.14383,닭가슴살
2025-08-04,3,복숭아,23.9957,복숭아,46.01366,복숭아
2025-08-04,4,옥수수,36.04371,옥수수,48.16635,옥수수
2025-08-04,5,쌀10kg,24.66012,쌀10kg,45.25519,쌀10kg
2025-08-04,6,수박,42.19583,수박,42.49527,수박
2025-08-04,7,사과,40.3631,사과,40.98298,사과
2025-08-04,8,오메가3,64.18,오메가3,39.05482,오메가3
2025-08-04,9,유산균,34.95912,유산균,84.82632,유산균
2025-08-04,10,레몬즙,25.12124,레몬즙,84.18647,레몬즙
2025-08-04,11,생수,21.15144,생수,82.26691,생수
2025-08-04,12,알파cd,21.00352,알파cd,28.89684,알파cd
2025-08-04,13,토마토,26.70084,토마토,74.95429,토마토
2025-08-04,14,알부민,12.14055,알부민,25.87048,알부민
2025-08-04,15,무화과,43.17087,무화과,71.06227,무화과
2025-08-04,16,두유,11.0617,두유,77.09437,두유
2025-08-04,17,수향미10kg,18.08573,수향미10kg,65.93406,수향미10kg
2025-08-04,18,올리브오일,33.92683,올리브오일,64.71663,올리브오일
2025-08-04,19,김치,44.83193,김치,69.29999,김치
2025-08-04,20,콘드로이친,61.42102,콘드로이친,61.72161,콘드로이친
2025-08-05,1,쌀20kg,11.06644,쌀20kg,64.65994,쌀20kg
2025-08-05,2,복숭아,24.10618,복숭아,47.44549,복숭아
2025-08-05,3,닭가슴살,27.13518,닭가슴살,44.84217,닭가슴살
2025-08-05,4,쌀10kg,24.20409,쌀10kg,50.28355,쌀10kg
2025-08-05,5,옥수수,36.37067,옥수수,44.27221,옥수수
2025-08-05,6,알파cd,35.04986,알파cd,37.42271,알파cd
2025-08-05,7,수박,43.27998,수박,40.26465,수박
2025-08-05,8,사과,34.0647,사과,39.20604,사과
2025-08-05,9,오메가3,71.32163,오메가3,38.63894,오메가3
2025-08-05,10,알부민,24.48365,알부민,32.76928,알부민
2025-08-05,11,유산균,33.58736,유산균,84.00365,유산균
2025-08-05,12,레몬즙,24.71941,레몬즙,81.35283,레몬즙
2025-08-05,13,생수,21.06138,생수,80.9872,생수
2025-08-05,14,토마토,26.13274,토마토,76.41681,토마토
2025-08-05,15,무화과,47.32824,무화과,74.35897,무화과
2025-08-05,16,수향미10kg,17.66294,수향미10kg,72.89377,수향미10kg
2025-08-05,17,올리브오일,43.67465,올리브오일,71.57221,올리브오일
2025-08-05,18,견과류,19.84732,견과류,68.13186,견과류
2025-08-05,19,두유,11.58225,두유,78.89713,두유
2025-08-05,20,오징어,41.73899,오징어,70.7,오징어
2025-08-06,1,쌀20kg,10.00153,쌀20kg,58.90009,쌀20kg
2025-08-06,2,닭가슴살,25.25702,닭가슴살,44.09371,닭가슴살
2025-08-06,3,복숭아,22.28939,복숭아,42.75951,복숭아
2025-08-06,4,옥수수,35.6393,옥수수,44.2344,옥수수
2025-08-06,5,사과,33.45379,사과,41.96597,사과
2025-08-06,6,쌀10kg,23.16296,쌀10kg,40.98298,쌀10kg
2025-08-06,7,오메가3,67.69058,오메가3,37.50472,오메가3
2025-08-06,8,알부민,15.74344,알부민,32.24861,알부민
2025-08-06,9,수박,36.25021,수박,36.48393,수박
2025-08-06,10,생수,19.73811,생수,86.65447,생수
2025-08-06,11,알파cd,28.19088,알파cd,29.93817,알파cd
