snapshot_id,date,slot,source_type,product_name,canonical_product_name,target_top20_next_1d,target_top20_next_3d,target_top20_next_7d,target_rank_50_next_3d,target_rank_50_next_7d,target_search_up_next_3d,target_click_up_next_3d,target_search_up_next_7d,target_click_up_next_7d,target_interest_confirmed_next_3d,target_priority_success_next_7d,label_status_1d,label_status_3d,label_status_7d,label_status,label_created_at
2026-05-08|pm|rising|노을메론,2026-05-08,pm,rising,노을메론,노을메론,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ready,ready,ready,ready,2026-06-10 12:06:39
2026-04-23|pm|rising|엄나무순,2026-04-23,pm,rising,엄나무순,엄나무순,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ready,ready,ready,ready,2026-06-10 12:06:39
2026-04-23|pm|rising|감자,2026-04-23,pm,rising,감자,감자,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ready,ready,ready,ready,2026-06-10 12:06:39
2026-04-23|pm|rising|고구마,2026-04-23,pm,rising,고구마,고구마,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,ready,ready,ready,ready,2026-06-10 12:06:39
2026-04-23|pm|rising|구운계란,2026-04-23,pm,rising,구운계란,구운계란,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,ready,ready,ready,ready,2026-06-10 12:06:39
2026-04-23|pm|rising|오렌지,2026-04-23,pm,rising,오렌지,오렌지,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ready,ready,ready,ready,2026-06-10 12:06:39
2026-04-23|pm|rising|명이나물,2026-04-23,pm,rising,명이나물,명이나물,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ready,ready,ready,ready,2026-06-10 12:06:39
2026-04-23|pm|rising|레몬즙,2026-04-23,pm,rising,레몬즙,레몬즙,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ready,ready,ready,ready,2026-06-10 12:06:39
2026-04-23|pm|rising|수박,2026-04-23,pm,rising,수박,수박,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ready,ready,ready,ready,2026-06-10 12:06:39
2026-04-23|pm|rising|버터떡,2026-04-23,pm,rising,버터떡,버터떡,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ready,ready,ready,ready,2026-06-10 12:06:39
2026-04-23|pm|rising|그릭요거트,2026-04-23,pm,rising,그릭요거트,그릭요거트,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ready,ready,ready,ready,2026-06-10 12:06:39
2026-04-23|pm|rising|암꽃게,2026-04-23,pm,rising,암꽃게,암꽃게,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ready,ready,ready,ready,2026-06-10 12:06:40
2026-04-23|pm|rising|블루베리,2026-04-23,pm,rising,블루베리,블루베리,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ready,ready,ready,ready,2026-06-10 12:06:40
2026-04-23|pm|rising|카네이션쿠키,2026-04-23,pm,rising,카네이션쿠키,카네이션쿠키,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ready,ready,ready,ready,2026-06-10 12:06:40
2026-04-23|pm|rising|수향미10kg,2026-04-23,pm,rising,수향미10kg,수향미10kg,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ready,ready,ready,ready,2026-06-10 12:06:40
2026-04-23|pm|rising|새조개,2026-04-23,pm,rising,새조개,새조개,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ready,ready,ready,ready,2026-06-10 12:06:40
